,bronze_correction_trips_removed,bronze_distance_km_mean,bronze_duplicate_rows_removed,bronze_duration_mean,bronze_excessive_daily_events_units,bronze_idle_time_invalid_corrected,bronze_ingestion_duration_sec,bronze_invalid_avg_speed_rows,bronze_mean_fuel_consumption_ecol,bronze_mean_fuel_consumption_ecor,bronze_mean_fuel_consumption_fms_high,bronze_negative_fuel_events,bronze_null_primary_key_rows,bronze_rows_dropped_by_rules,bronze_start_after_end_rows,bronze_std_fuel_consumption_ecol,bronze_std_fuel_consumption_ecor,bronze_std_fuel_consumption_fms_high,bronze_survival_rate,p95_fuel_per_100km,p95_idling_per_100km,raw_avg_speed_mean,raw_distance_mean,raw_ingestion_duration_sec,raw_max_trip_end_ts,raw_mean_fuel_consumption_ecol,raw_mean_fuel_consumption_ecor,raw_mean_fuel_consumption_fms_high,raw_min_trip_start_ts,raw_null_count_avg_speed,raw_null_count_distance,raw_null_count_fuel_consumption_fms_low,raw_null_count_gps_coverage,raw_null_count_idle_time,raw_null_count_max_speed,raw_null_count_start,raw_null_count_start_longitude,raw_null_count_unit_id,raw_poor_gps_coverage_count,raw_std_fuel_consumption_ecol,raw_std_fuel_consumption_ecor,raw_std_fuel_consumption_fms_high,silver_avg_speed_imputed,silver_fuel_fms_low_available,silver_ingestion_duration_sec,silver_ml_imputation_count,silver_ml_imputed_fuel_p95,silver_ml_large_error_count,silver_null_vehicle_fuel_subtype_rows,silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls
bronze_correction_trips_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_distance_km_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005182019997615214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_duplicate_rows_removed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_duration_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_excessive_daily_events_units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_idle_time_invalid_corrected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_ingestion_duration_sec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049656632804842196,0.0,0.0,0.0,0.0,0.0,0.0
bronze_invalid_avg_speed_rows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00492009602356761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005204957370823004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_mean_fuel_consumption_ecol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00533731420101841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_mean_fuel_consumption_ecor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005220783410557556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
