from,to,weight,abs_weight,bootstrap_frequency,source,source_out_degree,source_in_degree,target_out_degree,target_in_degree
bronze_distance_km_mean,bronze_distance_km_std,0.020374675555893583,0.020374675555893583,1.0,bootstrap_stable,12.0,0.0,1.0,1.0
silver_ml_residual_mean,silver_ml_percentage_error_mean,-0.02033977286125006,0.02033977286125006,1.0,bootstrap_stable,1.0,1.0,0.0,1.0
silver_vehicle_type_nulls,bronze_excessive_daily_events_units,0.020294306221832436,0.020294306221832436,1.0,bootstrap_stable,2.0,2.0,2.0,2.0
silver_ml_percentage_error_mean,silver_ml_residual_mean,-0.020271582197084217,0.020271582197084217,1.0,bootstrap_stable,,,,
silver_ml_prediction_mean,silver_ml_prediction_std,0.020242617840760382,0.020242617840760382,1.0,bootstrap_stable,3.0,0.0,0.0,2.0
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,0.0202215882952952,0.0202215882952952,1.0,bootstrap_stable,2.0,1.0,0.0,3.0
bronze_excessive_daily_events_units,silver_ml_large_error_count,0.020207529065650223,0.020207529065650223,1.0,bootstrap_stable,2.0,2.0,2.0,1.0
raw_poor_gps_coverage_count,silver_vehicle_type_nulls,0.0202004507229369,0.0202004507229369,1.0,bootstrap_stable,1.0,1.0,2.0,2.0
bronze_distance_km_std,raw_max_trip_end_ts,0.020179769180835923,0.020179769180835923,1.0,bootstrap_stable,1.0,1.0,2.0,1.0
silver_ml_large_error_count,silver_vehicle_type_nulls,0.020177104693576066,0.020177104693576066,1.0,bootstrap_stable,,,,
silver_ml_prediction_mean,silver_ml_residual_mean,-0.0201732056477012,0.0201732056477012,1.0,bootstrap_stable,3.0,0.0,1.0,1.0
p95_fuel_per_100km,raw_poor_gps_coverage_count,0.02012668357041336,0.02012668357041336,1.0,bootstrap_stable,,,,
bronze_null_primary_key_rows,raw_null_count_start,0.019958686270534202,0.019958686270534202,1.0,bootstrap_stable,1.0,1.0,0.0,1.0
silver_ml_prediction_mean,silver_ml_residual_std,0.019755298927949968,0.019755298927949968,1.0,bootstrap_stable,3.0,0.0,0.0,2.0
silver_ml_large_error_count,silver_ml_residual_std,0.019734853347208113,0.019734853347208113,1.0,bootstrap_stable,2.0,1.0,0.0,2.0
raw_max_trip_end_ts,raw_distance_std,0.019621563145332088,0.019621563145332088,1.0,bootstrap_stable,2.0,1.0,0.0,1.0
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,0.01959344092490347,0.01959344092490347,1.0,bootstrap_stable,3.0,4.0,0.0,3.0
raw_null_count_avg_speed,raw_null_count_idle_time,0.019567970928701727,0.019567970928701727,1.0,bootstrap_stable,2.0,2.0,1.0,1.0
silver_ingestion_duration_sec,bronze_ingestion_duration_sec,0.019445238529712215,0.019445238529712215,1.0,bootstrap_stable,1.0,1.0,1.0,2.0
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,0.019429991547104845,0.019429991547104845,1.0,bootstrap_stable,,,,
raw_null_count_idle_time,raw_null_count_avg_speed,0.019324201189917657,0.019324201189917657,1.0,bootstrap_stable,,,,
bronze_invalid_avg_speed_rows,bronze_rows_dropped_by_rules,0.019240585491111274,0.019240585491111274,1.0,bootstrap_stable,3.0,4.0,2.0,2.0
bronze_invalid_avg_speed_rows,silver_vehicle_type_nulls,0.01922789846999501,0.01922789846999501,1.0,bootstrap_stable,3.0,4.0,2.0,2.0
bronze_rows_dropped_by_rules,raw_poor_gps_coverage_count,0.019189267559294867,0.019189267559294867,1.0,bootstrap_stable,2.0,2.0,1.0,1.0
bronze_null_primary_key_rows,raw_null_count_unit_id,0.019153839866746653,0.019153839866746653,1.0,bootstrap_stable,,,,
silver_ingestion_duration_sec,raw_ingestion_duration_sec,0.01909610896035331,0.01909610896035331,1.0,bootstrap_stable,,,,
raw_ingestion_duration_sec,silver_ingestion_duration_sec,0.01906682817634335,0.01906682817634335,1.0,bootstrap_stable,,,,
p95_idling_per_100km,raw_distance_std,0.01904681433266184,0.01904681433266184,1.0,bootstrap_stable,,,,
bronze_duration_mean,bronze_duration_std,0.01904422709605182,0.01904422709605182,1.0,bootstrap_stable,9.0,0.0,2.0,1.0
bronze_excessive_daily_events_units,bronze_survival_rate,0.0189679224989278,0.0189679224989278,1.0,bootstrap_stable,2.0,2.0,2.0,3.0
silver_vehicle_type_nulls,silver_vehicle_info_join_miss_rate,0.018866133434202813,0.018866133434202813,1.0,bootstrap_stable,2.0,2.0,0.0,3.0
silver_avg_speed_imputed,raw_null_count_avg_speed,0.018542386569573438,0.018542386569573438,1.0,bootstrap_stable,,,,
bronze_survival_rate,bronze_correction_trips_removed,-0.018523618072440618,0.018523618072440618,1.0,bootstrap_stable,2.0,3.0,0.0,1.0
bronze_survival_rate,bronze_start_after_end_rows,-0.018086532693131936,0.018086532693131936,1.0,bootstrap_stable,2.0,3.0,0.0,1.0
p95_idling_per_100km,raw_null_count_idle_time,-0.017935596922998037,0.017935596922998037,1.0,bootstrap_stable,,,,
bronze_duration_mean,bronze_rows_dropped_by_rules,0.01713743842666908,0.01713743842666908,1.0,bootstrap_stable,9.0,0.0,2.0,2.0
bronze_ingestion_duration_sec,raw_null_count_unit_id,0.017011255719678518,0.017011255719678518,1.0,bootstrap_stable,1.0,2.0,1.0,1.0
p95_idling_per_100km,bronze_idle_time_invalid_corrected,-0.01688781774136795,0.01688781774136795,1.0,bootstrap_stable,,,,
raw_null_count_unit_id,bronze_ingestion_duration_sec,0.016371463356780497,0.016371463356780497,1.0,bootstrap_stable,,,,
raw_avg_speed_mean,raw_avg_speed_std,0.01631978821815484,0.01631978821815484,1.0,bootstrap_stable,2.0,2.0,0.0,3.0
raw_avg_speed_std,raw_avg_speed_mean,0.016149123154174338,0.016149123154174338,1.0,bootstrap_stable,,,,
bronze_duration_std,raw_temporal_coverage_hours,0.015435112248765634,0.015435112248765634,1.0,bootstrap_stable,2.0,1.0,0.0,1.0
bronze_duration_std,bronze_survival_rate,0.015080201913646613,0.015080201913646613,1.0,bootstrap_stable,2.0,1.0,2.0,3.0
silver_avg_speed_imputed,raw_avg_speed_mean,0.01507064476702939,0.01507064476702939,1.0,bootstrap_stable,,,,
silver_ml_large_error_count,silver_ml_prediction_std,-0.013902469322960109,0.013902469322960109,1.0,bootstrap_stable,2.0,1.0,0.0,2.0
bronze_distance_km_mean,raw_ingestion_duration_sec,0.008084580586129746,0.008084580586129746,1.0,bootstrap_stable,12.0,0.0,1.0,1.0
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,0.014909012792856455,0.014909012792856455,0.99,bootstrap_stable,2.0,2.0,0.0,2.0
