metric,is_root
raw_null_count_unit_id,1
raw_unique_units,1
raw_input_record_count,0
raw_ingestion_duration_sec,0
raw_min_trip_start_ts,0
raw_max_trip_end_ts,0
raw_distance_mean,0
raw_avg_speed_mean,0
raw_avg_speed_std,0
raw_temporal_coverage_hours,0
bronze_input_rows,0
bronze_output_rows,0
bronze_survival_rate,0
bronze_null_primary_key_rows,0
bronze_duration_mean,0
bronze_duration_std,0
bronze_distance_km_mean,0
bronze_ingestion_duration_sec,0
bronze_duplicate_rows_removed,0
bronze_start_after_end_rows,0
silver_input_data_count,0
silver_count_after_feature_engineering,0
silver_survival_rate,0
silver_vehicle_info_join_miss_rate,0
silver_ingestion_duration_sec,0
silver_avg_speed_imputed,0
silver_ml_imputed_fuel_mean,0
silver_ml_imputed_fuel_std,0
silver_ml_prediction_mean,0
silver_ml_residual_mean,0
silver_ml_abs_residual_mean,0
mean_fuel_per_100km,0
p50_fuel_per_100km,0
p95_fuel_per_100km,0
mean_idling_per_100km,0
p50_idling_per_100km,0
p95_idling_per_100km,0
