from,to,partial_corr,abs_partial_corr,edge_type,source
bronze_duration_mean,bronze_duration_std,0.7074659066212078,0.7074659066212078,undirected,graphical_lasso
raw_distance_mean,raw_distance_std,0.6499080641442508,0.6499080641442508,undirected,graphical_lasso
bronze_distance_km_mean,bronze_distance_km_std,0.643014860486757,0.643014860486757,undirected,graphical_lasso
bronze_duration_mean,silver_avg_speed_imputed,0.5,0.5,whitelisted,graphical_lasso
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,0.5,0.5,whitelisted,graphical_lasso
bronze_distance_km_mean,mean_fuel_per_100km,0.5,0.5,whitelisted,graphical_lasso
bronze_distance_km_mean,p50_fuel_per_100km,0.5,0.5,whitelisted,graphical_lasso
raw_input_record_count,bronze_input_rows,0.5,0.5,whitelisted,graphical_lasso
raw_ingestion_duration_sec,bronze_ingestion_duration_sec,0.5,0.5,whitelisted,graphical_lasso
bronze_distance_km_mean,p95_fuel_per_100km,0.5,0.5,whitelisted,graphical_lasso
silver_ml_residual_mean,silver_ml_abs_residual_mean,0.5,0.5,whitelisted,graphical_lasso
raw_null_count_unit_id,bronze_null_primary_key_rows,0.5,0.5,whitelisted,graphical_lasso
raw_unique_units,bronze_output_rows,0.5,0.5,whitelisted,graphical_lasso
raw_avg_speed_mean,silver_avg_speed_imputed,0.5,0.5,whitelisted,graphical_lasso
raw_distance_mean,bronze_distance_km_mean,0.5,0.5,whitelisted,graphical_lasso
bronze_distance_km_mean,silver_avg_speed_imputed,0.5,0.5,whitelisted,graphical_lasso
bronze_survival_rate,silver_survival_rate,0.5,0.5,whitelisted,graphical_lasso
bronze_output_rows,silver_count_after_feature_engineering,0.5,0.5,whitelisted,graphical_lasso
bronze_input_rows,silver_input_data_count,0.5,0.5,whitelisted,graphical_lasso
raw_max_trip_end_ts,bronze_output_rows,0.5,0.5,whitelisted,graphical_lasso
raw_min_trip_start_ts,bronze_input_rows,0.5,0.5,whitelisted,graphical_lasso
silver_ml_imputed_fuel_std,silver_ml_prediction_std,0.4448639846659476,0.4448639846659476,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,0.4129235766098378,0.4129235766098378,undirected,graphical_lasso
mean_fuel_per_100km,silver_avg_speed_imputed,0.38536076637910965,0.38536076637910965,undirected,graphical_lasso
bronze_impossible_speed_events,bronze_ingestion_duration_sec,0.325436631228815,0.325436631228815,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,0.3075575525791924,0.3075575525791924,undirected,graphical_lasso
silver_ml_prediction_mean,silver_ml_prediction_std,0.30082040045592734,0.30082040045592734,undirected,graphical_lasso
raw_avg_speed_mean,raw_distance_mean,-0.27147986847001265,0.27147986847001265,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_imputed_fuel_std,0.2611000309129919,0.2611000309129919,undirected,graphical_lasso
silver_ml_prediction_mean,silver_ml_residual_std,0.25524059731799736,0.25524059731799736,undirected,graphical_lasso
bronze_excessive_daily_events_units,mean_fuel_per_100km,0.22693368373163791,0.22693368373163791,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,0.15066924684591465,0.15066924684591465,undirected,graphical_lasso
mean_fuel_per_100km,silver_ml_residual_std,0.14765798450561474,0.14765798450561474,undirected,graphical_lasso
raw_distance_std,raw_max_trip_end_ts,0.14721348600824796,0.14721348600824796,undirected,graphical_lasso
silver_ml_imputed_fuel_std,silver_ml_percentage_error_mean,0.13701070409981683,0.13701070409981683,undirected,graphical_lasso
mean_idling_per_100km,raw_avg_speed_std,-0.1273473443833403,0.1273473443833403,undirected,graphical_lasso
silver_ml_percentage_error_mean,silver_ml_prediction_mean,0.12447955556997793,0.12447955556997793,undirected,graphical_lasso
mean_idling_per_100km,raw_avg_speed_mean,-0.12274201957151239,0.12274201957151239,undirected,graphical_lasso
bronze_excessive_daily_events_units,bronze_survival_rate,-0.11159646038082628,0.11159646038082628,undirected,graphical_lasso
bronze_ingestion_duration_sec,mean_fuel_per_100km,0.11156118422456035,0.11156118422456035,undirected,graphical_lasso
raw_avg_speed_mean,raw_distance_std,-0.10710860975197954,0.10710860975197954,undirected,graphical_lasso
