from,to,weight,abs_weight,edge_type,source
silver_ml_imputed_fuel_std,silver_ml_imputed_fuel_p95,0.003527908102438795,0.003527908102438795,directed,notears
silver_ml_imputed_fuel_mean,silver_ml_imputed_fuel_p95,0.003527221911375757,0.003527221911375757,directed,notears
silver_ml_imputed_fuel_p95,silver_ml_prediction_std,0.0035090074965591542,0.0035090074965591542,directed,notears
raw_distance_std,raw_distance_mean,0.0035087901568520994,0.0035087901568520994,directed,notears
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_mean,0.003503549811492888,0.003503549811492888,directed,notears
bronze_duration_mean,bronze_duration_std,0.003503036798059652,0.003503036798059652,directed,notears
bronze_excessive_daily_events_units,silver_avg_speed_imputed,0.0035021809211007323,0.0035021809211007323,directed,notears
silver_ml_imputed_fuel_std,silver_ml_prediction_std,0.0035016781051500716,0.0035016781051500716,directed,notears
bronze_distance_km_std,bronze_distance_km_mean,0.003498153046280411,0.003498153046280411,directed,notears
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,0.003492069602764165,0.003492069602764165,directed,notears
mean_fuel_per_100km,silver_avg_speed_imputed,0.003468982267890748,0.003468982267890748,directed,notears
silver_ml_imputed_fuel_std,silver_ml_imputed_fuel_mean,0.00346499107870815,0.00346499107870815,directed,notears
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,0.003453094917564053,0.003453094917564053,directed,notears
silver_ml_imputed_fuel_p95,silver_ml_prediction_mean,0.0034483400382432526,0.0034483400382432526,directed,notears
silver_ml_prediction_std,silver_ml_prediction_mean,0.0034414648193980745,0.0034414648193980745,directed,notears
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_p95,0.0034158902941866364,0.0034158902941866364,directed,notears
mean_fuel_per_100km,bronze_excessive_daily_events_units,0.003397722640388795,0.003397722640388795,directed,notears
silver_ml_percentage_error_mean,silver_ml_prediction_mean,0.003365459312274731,0.003365459312274731,directed,notears
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_std,0.00333758993591278,0.00333758993591278,directed,notears
silver_ml_imputed_fuel_std,silver_ml_prediction_mean,0.003310953011863348,0.003310953011863348,directed,notears
silver_ml_percentage_error_mean,silver_ml_prediction_std,0.003256086617880192,0.003256086617880192,directed,notears
raw_max_trip_end_ts,bronze_distance_km_mean,0.0032222916969538136,0.0032222916969538136,directed,notears
bronze_impossible_speed_events,silver_avg_speed_imputed,0.0032058695908403047,0.0032058695908403047,directed,notears
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,0.003203005304263179,0.003203005304263179,directed,notears
silver_ml_residual_std,silver_ml_prediction_mean,0.0031988779079050894,0.0031988779079050894,directed,notears
raw_avg_speed_mean,raw_distance_mean,-0.003182780515630466,0.003182780515630466,directed,notears
raw_ingestion_duration_sec,silver_ingestion_duration_sec,0.0031700300950831123,0.0031700300950831123,directed,notears
bronze_ingestion_duration_sec,bronze_impossible_speed_events,0.0031298372809092302,0.0031298372809092302,directed,notears
bronze_impossible_speed_events,bronze_excessive_daily_events_units,0.00310775932647825,0.00310775932647825,directed,notears
bronze_impossible_speed_events,mean_fuel_per_100km,0.003086079696589908,0.003086079696589908,directed,notears
raw_distance_std,raw_avg_speed_mean,-0.0030695379655385968,0.0030695379655385968,directed,notears
silver_ml_imputed_fuel_mean,silver_ml_residual_std,0.0030543838153412966,0.0030543838153412966,directed,notears
mean_fuel_per_100km,silver_ml_residual_std,0.0030227706168586056,0.0030227706168586056,directed,notears
silver_ml_percentage_error_mean,silver_ml_residual_std,0.0030220883259015324,0.0030220883259015324,directed,notears
raw_avg_speed_mean,bronze_duration_mean,0.0023127158145145447,0.0023127158145145447,directed,whitelist_recovered
bronze_distance_km_mean,silver_avg_speed_imputed,-0.0022214287984392168,0.0022214287984392168,directed,whitelist_recovered
raw_distance_mean,bronze_distance_km_mean,0.0021349787290654686,0.0021349787290654686,directed,whitelist_recovered
bronze_distance_km_mean,mean_fuel_per_100km,-0.0020473446728208784,0.0020473446728208784,directed,whitelist_recovered
bronze_duration_mean,silver_avg_speed_imputed,-0.0016621648575836753,0.0016621648575836753,directed,whitelist_recovered
bronze_distance_km_mean,mean_idling_per_100km,-0.001548258430901749,0.001548258430901749,directed,whitelist_recovered
