iteration,h_value,alpha,rho,loss,success,iter_time_sec
0,0.5506851650032516,0.0,1.0,2.088853254072742,True,0.09709525108337402
1,0.34023942956811837,0.5506851650032516,2.0,2.299018268886192,True,0.011454582214355469
2,0.23063458791649083,1.2311640241394883,4.0,2.505496262258654,False,0.04686784744262695
3,0.15207429623796997,2.1537023758054517,8.0,2.739166745777676,True,0.03809022903442383
4,0.11641563367020424,3.3702967457092115,16.0,2.899024382615531,False,0.03092360496520996
5,0.0852048235257854,5.232946884432479,32.0,3.11198493611351,False,0.03652620315551758
6,0.06286651603002014,7.959501237257612,64.0,3.3408113429680237,True,0.011203527450561523
7,0.044383721254916964,11.982958263178901,128.0,3.6166961815910024,True,0.023252248764038086
8,0.033752300108083944,17.664074583808272,256.0,3.851493594219881,True,0.010725259780883789
9,0.02440251275504224,26.30466341147776,512.0,4.154684324637571,True,0.029072046279907227
10,0.01725017790657546,38.79874994205939,1024.0,4.495807755937237,True,0.03663897514343262
11,0.012838302829806025,56.46293211839266,2048.0,4.7997586438944095,True,0.011911869049072266
12,0.008864525995551986,82.7557763138354,4096.0,5.197389177277395,False,0.023839950561523438
13,0.006492978519123227,119.06487479161633,8192.0,5.538539898040178,True,0.011399984359741211
14,0.004458196163231065,172.2553548202738,16384.0,5.957631923049485,True,0.029394149780273438
15,0.0032055240829080844,245.29844075865157,32768.0,6.3258064386003845,True,0.021651506423950195
16,0.002197594411626369,350.3370539073837,65536.0,6.746171561645262,True,0.027712583541870117
17,0.0015630717145818096,494.3586012677294,131072.0,7.119640136403527,True,0.010854005813598633
18,0.0010769825606580241,699.2335370413964,262144.0,7.521122291740395,True,0.03331589698791504
19,0.0007397881285733376,981.5580534225335,524288.0,7.913755648579936,True,0.025232791900634766
20,0.000519067458771616,1369.4200917759915,1048576.0,8.270824173621108,True,0.011972427368164062
21,0.00035314414065723554,1913.7017714248975,2097152.0,8.644031177579986,True,0.017976760864257812
22,0.00024375681617172518,2654.2987122925006,4194304.0,8.986247892454317,True,0.01971745491027832
23,0.00016692783465899197,3676.688901388832,8388608.0,9.318099023970188,True,0.017653942108154297
24,0.00011440339635271357,5076.9810706319295,16777216.0,9.631115336853739,True,0.027361631393432617
25,7.854687178365793e-05,6996.351562375017,33554432.0,9.924602037471354,True,0.011012077331542969
26,5.337726009813082e-05,9631.947230452486,67108864.0,10.20761572624021,True,0.01727008819580078
27,3.6463921873064464e-05,13214.034519070574,134217728.0,10.46863027335392,True,0.011157751083374023
28,2.4800505791233718e-05,18108.13926684279,268435456.0,10.714779420472745,False,0.025731325149536133
29,1.6883760082464505e-05,24765.474347943255,536870912.0,10.943166985347887,True,0.009601116180419922
30,1.1468265917358167e-05,33829.874021405165,1073741824.0,11.15627520422444,True,0.013453245162963867
31,7.784354973949803e-06,46143.83078562636,2147483648.0,11.353861645770882,True,0.010148763656616211
32,5.2788290396676985e-06,62860.605802411024,4294967296.0,11.536781838914383,True,0.018221139907836914
33,3.576879311850689e-06,85533.00388895888,8589934592.0,11.705782250983475,True,0.008591651916503906
34,2.4243723153460905e-06,116258.16322123427,17179869184.0,11.861194961140932,True,0.028252840042114258
35,1.6405320799606216e-06,157908.5624521913,34359738368.0,12.004644765115849,True,0.015512466430664062
36,1.1105846979830858e-06,214276.81550394912,68719476736.0,12.136174049469696,True,0.016959190368652344
37,7.507306563070415e-07,290595.6148203554,137438953472.0,12.257193619296078,True,0.009792089462280273
38,5.07124156001737e-07,393775.2505625429,274877906944.0,12.368161079276804,True,0.01885223388671875
39,3.426511270276933e-07,533172.4771250428,549755813888.0,12.469604345376212,True,0.009164571762084961
40,2.3138078475426482e-07,721546.9263437928,1099511627776.0,12.56244607196687,True,0.011496543884277344
41,1.5626502047894064e-07,975952.7896250428,2199023255552.0,12.647194141149818,True,0.008771181106567383
42,1.054327043448211e-07,1319583.2036875428,4398046511104.0,12.724707885533762,True,0.012036561965942383
43,7.1155866976369e-08,1783281.1411875428,8796093022208.0,12.795332255039373,True,0.009029388427734375
44,4.7981146167330735e-08,2409174.766187543,17592186044416.0,12.859822514722929,True,0.029741525650024414
45,3.236599610545454e-08,3253268.016187543,35184372088832.0,12.918498785209378,True,0.009561777114868164
46,2.1821843887437353e-08,4392045.266187543,70368744177664.0,12.97197520194731,True,0.008930206298828125
47,1.4710565210407367e-08,5927621.016187543,140737488355328.0,13.02064496653528,True,0.012655258178710938
48,9.92053728054998e-09,7997949.016187543,281474976710656.0,13.064864372249982,True,0.008736610412597656
