,bronze_distance_km_mean,bronze_distance_km_std,bronze_duration_mean,bronze_duration_std,bronze_excessive_daily_events_units,bronze_impossible_speed_events,bronze_ingestion_duration_sec,bronze_survival_rate,mean_fuel_per_100km,mean_idling_per_100km,raw_avg_speed_mean,raw_avg_speed_std,raw_distance_mean,raw_distance_std,raw_ingestion_duration_sec,raw_max_trip_end_ts,raw_min_trip_start_ts,silver_avg_speed_imputed,silver_ingestion_duration_sec,silver_ml_imputed_fuel_mean,silver_ml_imputed_fuel_p95,silver_ml_imputed_fuel_std,silver_ml_percentage_error_mean,silver_ml_prediction_mean,silver_ml_prediction_std,silver_ml_residual_std,silver_vehicle_info_join_miss_rate
bronze_distance_km_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_distance_km_std,0.003498153046280411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031386536304526193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_duration_mean,0.0,0.0,0.0,0.003503036798059652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_duration_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_excessive_daily_events_units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035021809211007323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_impossible_speed_events,0.0,0.0,0.0,0.0,0.00310775932647825,0.0,0.0,0.0,0.003086079696589908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032058695908403047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_ingestion_duration_sec,0.0,0.0,0.0,0.0,0.0,0.0031298372809092302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_survival_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_fuel_per_100km,0.0,0.0,0.0,0.0,0.003397722640388795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003468982267890748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030227706168586056,0.0
mean_idling_per_100km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
