from,to,edge_type,weight,source
bronze_distance_km_std,bronze_distance_km_mean,directed,1.0,pc_raw
raw_max_trip_end_ts,bronze_distance_km_mean,directed,1.0,pc_raw
bronze_distance_km_mean,bronze_distance_km_std,directed,1.0,pc_raw
bronze_duration_mean,bronze_duration_std,directed,1.0,pc_raw
bronze_duration_mean,raw_avg_speed_mean,directed,1.0,pc_raw
bronze_duration_mean,bronze_duration_std,directed,1.0,pc_raw
raw_min_trip_start_ts,bronze_duration_std,directed,1.0,pc_raw
bronze_excessive_daily_events_units,bronze_survival_rate,directed,1.0,pc_raw
bronze_excessive_daily_events_units,silver_avg_speed_imputed,directed,1.0,pc_raw
bronze_ingestion_duration_sec,bronze_impossible_speed_events,directed,1.0,pc_raw
silver_avg_speed_imputed,bronze_impossible_speed_events,directed,1.0,pc_raw
silver_vehicle_info_join_miss_rate,bronze_impossible_speed_events,directed,1.0,pc_raw
bronze_ingestion_duration_sec,bronze_impossible_speed_events,directed,1.0,pc_raw
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,directed,1.0,pc_raw
bronze_excessive_daily_events_units,bronze_survival_rate,directed,1.0,pc_raw
raw_avg_speed_mean,bronze_survival_rate,directed,1.0,pc_raw
silver_avg_speed_imputed,mean_fuel_per_100km,directed,1.0,pc_raw
raw_avg_speed_std,mean_idling_per_100km,directed,1.0,pc_raw
bronze_duration_mean,raw_avg_speed_mean,directed,1.0,pc_raw
raw_avg_speed_mean,bronze_survival_rate,directed,1.0,pc_raw
raw_avg_speed_mean,raw_distance_mean,directed,1.0,pc_raw
raw_avg_speed_mean,silver_vehicle_info_join_miss_rate,directed,1.0,pc_raw
mean_idling_per_100km,raw_avg_speed_std,directed,1.0,pc_raw
raw_avg_speed_mean,raw_distance_mean,directed,1.0,pc_raw
raw_distance_std,raw_distance_mean,directed,1.0,pc_raw
raw_distance_std,raw_distance_mean,directed,1.0,pc_raw
raw_distance_std,raw_max_trip_end_ts,directed,1.0,pc_raw
silver_ingestion_duration_sec,raw_ingestion_duration_sec,directed,1.0,pc_raw
raw_max_trip_end_ts,bronze_distance_km_mean,directed,1.0,pc_raw
raw_distance_std,raw_max_trip_end_ts,directed,1.0,pc_raw
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,directed,1.0,pc_raw
bronze_duration_std,raw_min_trip_start_ts,directed,1.0,pc_raw
bronze_excessive_daily_events_units,silver_avg_speed_imputed,directed,1.0,pc_raw
bronze_impossible_speed_events,silver_avg_speed_imputed,directed,1.0,pc_raw
mean_fuel_per_100km,silver_avg_speed_imputed,directed,1.0,pc_raw
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,directed,1.0,pc_raw
raw_ingestion_duration_sec,silver_ingestion_duration_sec,directed,1.0,pc_raw
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,directed,1.0,pc_raw
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,directed,1.0,pc_raw
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,directed,1.0,pc_raw
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_std,directed,1.0,pc_raw
silver_ml_prediction_std,silver_ml_imputed_fuel_std,directed,1.0,pc_raw
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,directed,1.0,pc_raw
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_std,directed,1.0,pc_raw
silver_ml_percentage_error_mean,silver_ml_prediction_mean,directed,1.0,pc_raw
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,directed,1.0,pc_raw
silver_ml_percentage_error_mean,silver_ml_prediction_mean,directed,1.0,pc_raw
silver_ml_residual_std,silver_ml_prediction_mean,directed,1.0,pc_raw
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,directed,1.0,pc_raw
silver_ml_imputed_fuel_std,silver_ml_prediction_std,directed,1.0,pc_raw
silver_ml_prediction_mean,silver_ml_residual_std,directed,1.0,pc_raw
bronze_impossible_speed_events,silver_vehicle_info_join_miss_rate,directed,1.0,pc_raw
raw_avg_speed_mean,silver_vehicle_info_join_miss_rate,directed,1.0,pc_raw
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,directed,1.0,pc_raw
