test_date,test_case,graph_key,graph_name,algorithm,graph_type,edge_type,traversal_method,num_anomalies,num_edges,num_candidates,top1_accuracy,top3_accuracy,top5_accuracy,top10_accuracy,mrr,precision@1,precision@3,precision@5,recall@3,recall@5,recall@10,root_ranks
2025-10-01,case5_sensor_reads_nulls,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,27,84,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_mean_fuel_consumption_ecol': 38}
2025-10-02,case6_vehicle_id_nulls,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,38,84,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_null_count_unit_id': 41}
2025-10-03,case7_extreme_values,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,39,84,40,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,"{'raw_std_fuel_consumption_ecol': 38, 'raw_avg_speed_mean': 34}"
2025-10-04,case8_invalid_ranges,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,38,84,40,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,{'bronze_duration_mean': 19}
2025-10-05,case9_speed_prediction_drift,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,39,84,40,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,"{'silver_ml_prediction_mean': 27, 'silver_ml_large_error_count': 41}"
2025-10-06,case10_prediction_outliers,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,27,84,37,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,"{'silver_ml_prediction_mean': 25, 'silver_ml_large_error_count': 38}"
2025-10-07,case11_duration_anomalies,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,38,84,40,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,"{'bronze_duration_mean': 18, 'bronze_duration_std': 16}"
2025-10-08,case12_timestamp_inconsistencies,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,38,84,40,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,{'raw_max_trip_end_ts': 1}
2025-10-09,case13_aggregation_errors,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,38,84,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_duplicate_trip_ids': 41}
2025-10-10,case14_join_failures,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,39,84,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_vehicle_master_incomplete': 41}
2025-10-11,case15_duplicate_handling,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,38,84,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_duplicate_trip_ids': 41}
2025-10-12,case16_vehicle_id_nulls_low,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,39,84,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_null_count_unit_id': 41}
2025-10-13,case17_extreme_values_low,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,39,84,40,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,"{'raw_std_fuel_consumption_ecol': 36, 'raw_avg_speed_mean': 34}"
2025-10-14,case18_invalid_ranges_low,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,39,84,40,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,"{'bronze_duration_mean': 19, 'bronze_rows_dropped_by_rules': 41}"
2025-10-15,case19_speed_prediction_drift_low,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,39,84,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'silver_ml_prediction_std': 41, 'silver_ml_large_error_count': 41}"
2025-10-16,case20_prediction_outliers_low,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,27,84,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'silver_ml_large_error_count': 38}
2025-10-17,case21_duration_anomalies_low,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,39,84,40,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,"{'bronze_duration_mean': 18, 'bronze_duration_std': 16}"
2025-10-18,case22_timestamp_inconsistencies_low,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,38,84,40,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,{'raw_max_trip_end_ts': 1}
2026-02-06,case1_unit_id_nulls,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,38,84,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'raw_null_count_unit_id': 41}
2026-02-09,case2_distance_gps_nulls,glasso_filtered,GraphicalLasso (Filtered),Graphical_Lasso_Based,filtered,undirected,upstream,38,84,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'raw_null_count_gps_coverage': 41, 'raw_null_count_start': 41, 'raw_null_count_distance': 41}"
