from,to,partial_corr,abs_partial_corr,edge_type,source
raw_mean_fuel_consumption_ecor,raw_std_fuel_consumption_ecor,0.5543360427362617,0.5543360427362617,undirected,graphical_lasso
raw_avg_speed_mean,raw_avg_speed_std,0.5483881208253524,0.5483881208253524,undirected,graphical_lasso
bronze_distance_km_mean,bronze_distance_km_std,0.5399631187343304,0.5399631187343304,undirected,graphical_lasso
raw_distance_mean,bronze_distance_km_mean,0.47908785555058403,0.47908785555058403,undirected,whitelist_estimated
bronze_mean_fuel_consumption_fms_high,bronze_std_fuel_consumption_fms_high,0.4643524292240059,0.4643524292240059,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,0.4469581471317412,0.4469581471317412,undirected,graphical_lasso
bronze_mean_fuel_consumption_ecor,bronze_std_fuel_consumption_ecor,0.43518621592878853,0.43518621592878853,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,0.41834558189331256,0.41834558189331256,undirected,graphical_lasso
silver_ml_imputed_fuel_mean,silver_ml_imputed_fuel_std,0.41631722647237507,0.41631722647237507,undirected,graphical_lasso
bronze_duration_mean,bronze_duration_std,0.3696841377214886,0.3696841377214886,undirected,graphical_lasso
bronze_input_rows,mean_fuel_per_100km,0.3098148318373158,0.3098148318373158,undirected,graphical_lasso
bronze_excessive_daily_events_units,bronze_survival_rate,0.3059359052440762,0.3059359052440762,undirected,graphical_lasso
bronze_distance_km_mean,mean_idling_per_100km,0.2867965750171186,0.2867965750171186,undirected,whitelist_estimated
raw_max_trip_end_ts,raw_std_fuel_consumption_ecor,0.24383334208491705,0.24383334208491705,undirected,graphical_lasso
bronze_idle_time_invalid_corrected,mean_idling_per_100km,-0.2374278758737868,0.2374278758737868,undirected,graphical_lasso
silver_fuel_ecol_available,silver_vehicle_type_nulls,0.23464973949046167,0.23464973949046167,undirected,graphical_lasso
bronze_correction_trips_removed,bronze_survival_rate,-0.22566879802481252,0.22566879802481252,undirected,graphical_lasso
silver_ml_prediction_mean,silver_ml_residual_std,0.20210009613398874,0.20210009613398874,undirected,graphical_lasso
bronze_distance_km_mean,silver_avg_speed_imputed,-0.18861619766815868,0.18861619766815868,undirected,whitelist_estimated
mean_fuel_per_100km,silver_vehicle_type_nulls,0.18699514858760535,0.18699514858760535,undirected,graphical_lasso
raw_distance_mean,raw_std_fuel_consumption_ecor,0.16273402212054097,0.16273402212054097,undirected,graphical_lasso
silver_ml_percentage_error_mean,silver_ml_residual_std,0.1609578593270351,0.1609578593270351,undirected,graphical_lasso
silver_ml_imputed_fuel_std,silver_ml_prediction_mean,0.15312122031717673,0.15312122031717673,undirected,graphical_lasso
mean_fuel_per_100km,silver_ml_residual_std,0.14632831523316955,0.14632831523316955,undirected,graphical_lasso
bronze_mean_fuel_consumption_ecor,mean_idling_per_100km,-0.14484022783971506,0.14484022783971506,undirected,graphical_lasso
bronze_input_rows,bronze_std_fuel_consumption_fms_high,-0.14474554258570477,0.14474554258570477,undirected,graphical_lasso
bronze_mean_fuel_consumption_ecol,bronze_mean_fuel_consumption_ecor,0.13756287166865017,0.13756287166865017,undirected,graphical_lasso
silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls,0.13214116581137755,0.13214116581137755,undirected,graphical_lasso
mean_idling_per_100km,raw_distance_mean,0.1293675453823355,0.1293675453823355,undirected,graphical_lasso
bronze_distance_km_mean,mean_fuel_per_100km,-0.1279580542359623,0.1279580542359623,undirected,whitelist_estimated
silver_ml_percentage_error_mean,silver_ml_prediction_mean,0.12645238348829313,0.12645238348829313,undirected,graphical_lasso
bronze_mean_fuel_consumption_ecol,bronze_std_fuel_consumption_ecol,0.12565795793978263,0.12565795793978263,undirected,graphical_lasso
raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_fms_high,0.12450184859292628,0.12450184859292628,undirected,graphical_lasso
silver_avg_speed_imputed,silver_fuel_ecol_available,0.11334718388229813,0.11334718388229813,undirected,graphical_lasso
bronze_duration_std,bronze_survival_rate,0.10730366826806484,0.10730366826806484,undirected,graphical_lasso
mean_fuel_per_100km,silver_ml_imputed_fuel_std,-0.10610810166635531,0.10610810166635531,undirected,graphical_lasso
mean_idling_per_100km,raw_max_trip_end_ts,0.10551477494729786,0.10551477494729786,undirected,graphical_lasso
bronze_ingestion_duration_sec,bronze_input_rows,0.10195432597914116,0.10195432597914116,undirected,graphical_lasso
raw_ingestion_duration_sec,raw_mean_fuel_consumption_ecor,0.10173030832792636,0.10173030832792636,undirected,graphical_lasso
bronze_input_rows,bronze_survival_rate,-0.08931710943152027,0.08931710943152027,undirected,whitelist_recovered
raw_avg_speed_mean,bronze_duration_mean,0.06978488812570646,0.06978488812570646,undirected,whitelist_estimated
bronze_duration_mean,silver_avg_speed_imputed,-0.012824084515325544,0.012824084515325544,undirected,whitelist_estimated
