from,to,partial_corr,abs_partial_corr,edge_type,source
bronze_std_fuel_consumption_ecol,raw_std_fuel_consumption_ecol,0.7184731547307254,0.7184731547307254,undirected,graphical_lasso_raw
bronze_mean_fuel_consumption_fms_high,raw_mean_fuel_consumption_fms_high,0.5969722530324174,0.5969722530324174,undirected,graphical_lasso_raw
raw_mean_fuel_consumption_ecor,raw_std_fuel_consumption_ecor,0.5543360427362617,0.5543360427362617,undirected,graphical_lasso_raw
raw_avg_speed_mean,raw_avg_speed_std,0.5483881208253524,0.5483881208253524,undirected,graphical_lasso_raw
bronze_distance_km_mean,bronze_distance_km_std,0.5399631187343304,0.5399631187343304,undirected,graphical_lasso_raw
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,0.5258042551039649,0.5258042551039649,undirected,graphical_lasso_raw
bronze_mean_fuel_consumption_fms_high,bronze_std_fuel_consumption_fms_high,0.4643524292240059,0.4643524292240059,undirected,graphical_lasso_raw
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,0.4469581471317412,0.4469581471317412,undirected,graphical_lasso_raw
bronze_mean_fuel_consumption_ecor,bronze_std_fuel_consumption_ecor,0.43518621592878853,0.43518621592878853,undirected,graphical_lasso_raw
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,0.41834558189331256,0.41834558189331256,undirected,graphical_lasso_raw
silver_ml_imputed_fuel_mean,silver_ml_imputed_fuel_std,0.41631722647237507,0.41631722647237507,undirected,graphical_lasso_raw
raw_avg_speed_mean,silver_avg_speed_imputed,0.3959802680602064,0.3959802680602064,undirected,graphical_lasso_raw
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,0.3905196396538175,0.3905196396538175,undirected,graphical_lasso_raw
bronze_duration_mean,bronze_duration_std,0.3696841377214886,0.3696841377214886,undirected,graphical_lasso_raw
bronze_input_rows,silver_fuel_ecol_available,0.342162223072385,0.342162223072385,undirected,graphical_lasso_raw
bronze_std_fuel_consumption_ecor,silver_ml_residual_std,0.3419257963028498,0.3419257963028498,undirected,graphical_lasso_raw
bronze_excessive_daily_events_units,silver_vehicle_type_nulls,0.3389961069917645,0.3389961069917645,undirected,graphical_lasso_raw
raw_ingestion_duration_sec,silver_ingestion_duration_sec,0.32074158132255487,0.32074158132255487,undirected,graphical_lasso_raw
bronze_input_rows,mean_fuel_per_100km,0.3098148318373158,0.3098148318373158,undirected,graphical_lasso_raw
bronze_excessive_daily_events_units,bronze_survival_rate,0.3059359052440762,0.3059359052440762,undirected,graphical_lasso_raw
