from,to,edge_type,weight,abs_weight,source
silver_ml_imputed_fuel_std,silver_ml_imputed_fuel_mean,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_std,silver_ml_prediction_mean,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_std,silver_ml_percentage_error_mean,directed,1.0,1.0,pc_algorithm
mean_idling_per_100km,bronze_idle_time_invalid_corrected,directed,1.0,1.0,pc_algorithm
raw_std_fuel_consumption_ecol,bronze_std_fuel_consumption_ecol,directed,1.0,1.0,pc_algorithm
bronze_mean_fuel_consumption_ecor,bronze_mean_fuel_consumption_ecol,directed,1.0,1.0,pc_algorithm
silver_fuel_ecol_available,silver_avg_speed_imputed,directed,1.0,1.0,pc_algorithm
bronze_survival_rate,bronze_correction_trips_removed,directed,1.0,1.0,pc_algorithm
raw_std_fuel_consumption_ecor,raw_mean_fuel_consumption_ecor,directed,1.0,1.0,pc_algorithm
raw_std_fuel_consumption_ecor,bronze_distance_km_mean,directed,1.0,1.0,pc_algorithm
raw_std_fuel_consumption_ecor,raw_max_trip_end_ts,directed,1.0,1.0,pc_algorithm
raw_distance_mean,raw_std_fuel_consumption_ecor,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_std,silver_ml_imputed_fuel_mean,directed,1.0,1.0,pc_algorithm
silver_ml_prediction_mean,silver_ml_imputed_fuel_mean,directed,1.0,1.0,pc_algorithm
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_mean,directed,1.0,1.0,pc_algorithm
silver_vehicle_type_nulls,mean_fuel_per_100km,directed,1.0,1.0,pc_algorithm
silver_vehicle_type_nulls,silver_vehicle_info_join_miss_rate,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_std,silver_ml_prediction_mean,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,directed,1.0,1.0,pc_algorithm
silver_ml_percentage_error_mean,silver_ml_prediction_mean,directed,1.0,1.0,pc_algorithm
bronze_survival_rate,bronze_correction_trips_removed,directed,1.0,1.0,pc_algorithm
bronze_survival_rate,bronze_excessive_daily_events_units,directed,1.0,1.0,pc_algorithm
raw_std_fuel_consumption_ecor,raw_mean_fuel_consumption_ecor,directed,1.0,1.0,pc_algorithm
raw_mean_fuel_consumption_ecor,bronze_distance_km_mean,directed,1.0,1.0,pc_algorithm
raw_mean_fuel_consumption_ecor,raw_ingestion_duration_sec,directed,1.0,1.0,pc_algorithm
bronze_distance_km_mean,bronze_distance_km_std,directed,1.0,1.0,pc_algorithm
raw_max_trip_end_ts,bronze_distance_km_std,directed,1.0,1.0,pc_algorithm
raw_std_fuel_consumption_ecor,bronze_distance_km_mean,directed,1.0,1.0,pc_algorithm
raw_mean_fuel_consumption_ecor,bronze_distance_km_mean,directed,1.0,1.0,pc_algorithm
bronze_distance_km_std,bronze_distance_km_mean,directed,1.0,1.0,pc_algorithm
silver_fuel_ecol_available,silver_avg_speed_imputed,directed,1.0,1.0,pc_algorithm
bronze_survival_rate,bronze_excessive_daily_events_units,directed,1.0,1.0,pc_algorithm
bronze_duration_std,bronze_duration_mean,directed,1.0,1.0,pc_algorithm
bronze_duration_std,bronze_duration_mean,directed,1.0,1.0,pc_algorithm
bronze_mean_fuel_consumption_ecor,bronze_std_fuel_consumption_ecor,directed,1.0,1.0,pc_algorithm
raw_avg_speed_std,raw_avg_speed_mean,directed,1.0,1.0,pc_algorithm
silver_vehicle_type_nulls,mean_fuel_per_100km,directed,1.0,1.0,pc_algorithm
bronze_input_rows,mean_fuel_per_100km,directed,1.0,1.0,pc_algorithm
raw_mean_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed,1.0,1.0,pc_algorithm
bronze_std_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed,1.0,1.0,pc_algorithm
bronze_std_fuel_consumption_ecor,silver_ml_residual_std,directed,1.0,1.0,pc_algorithm
raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_fms_high,directed,1.0,1.0,pc_algorithm
raw_mean_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,directed,1.0,1.0,pc_algorithm
raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_fms_high,directed,1.0,1.0,pc_algorithm
mean_idling_per_100km,bronze_idle_time_invalid_corrected,directed,1.0,1.0,pc_algorithm
mean_idling_per_100km,raw_max_trip_end_ts,directed,1.0,1.0,pc_algorithm
mean_idling_per_100km,bronze_mean_fuel_consumption_ecor,directed,1.0,1.0,pc_algorithm
