from,to,weight,abs_weight,bootstrap_frequency,source,source_out_degree,source_in_degree,target_out_degree,target_in_degree
silver_ml_residual_mean,silver_ml_percentage_error_mean,-0.019180725095985233,0.019180725095985233,1.0,bootstrap_stable,2.0,1.0,0.0,1.0
raw_mean_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,0.019146665106096406,0.019146665106096406,1.0,bootstrap_stable,2.0,0.0,0.0,2.0
raw_std_fuel_consumption_ecor,raw_mean_fuel_consumption_ecor,0.01911459877271333,0.01911459877271333,1.0,bootstrap_stable,3.0,1.0,1.0,3.0
bronze_distance_km_mean,bronze_distance_km_std,0.01910265110251804,0.01910265110251804,1.0,bootstrap_stable,12.0,0.0,0.0,2.0
silver_ml_prediction_mean,silver_ml_residual_mean,-0.019100647414476785,0.019100647414476785,1.0,bootstrap_stable,3.0,0.0,2.0,1.0
raw_std_fuel_consumption_ecol,bronze_std_fuel_consumption_ecol,0.019034638952309266,0.019034638952309266,1.0,bootstrap_stable,1.0,1.0,0.0,1.0
bronze_std_fuel_consumption_ecol,raw_std_fuel_consumption_ecol,0.019019447475990783,0.019019447475990783,1.0,bootstrap_stable,,,,
silver_ml_prediction_mean,silver_ml_prediction_std,0.019015547026891812,0.019015547026891812,1.0,bootstrap_stable,3.0,0.0,0.0,2.0
silver_vehicle_type_nulls,raw_poor_gps_coverage_count,0.01900546767557711,0.01900546767557711,1.0,bootstrap_stable,,,,
raw_poor_gps_coverage_count,p95_fuel_per_100km,0.019003391148893396,0.019003391148893396,1.0,bootstrap_stable,2.0,2.0,0.0,2.0
silver_vehicle_info_join_miss_rate,raw_max_trip_end_ts,0.018995253809427796,0.018995253809427796,1.0,bootstrap_stable,,,,
bronze_std_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,0.018989836896506705,0.018989836896506705,1.0,bootstrap_stable,3.0,1.0,0.0,2.0
raw_max_trip_end_ts,bronze_distance_km_std,0.018982579774948573,0.018982579774948573,1.0,bootstrap_stable,1.0,2.0,0.0,2.0
bronze_excessive_daily_events_units,silver_ml_large_error_count,0.0189809710728112,0.0189809710728112,1.0,bootstrap_stable,3.0,1.0,2.0,2.0
raw_poor_gps_coverage_count,silver_vehicle_type_nulls,0.018970859742076122,0.018970859742076122,1.0,bootstrap_stable,2.0,2.0,0.0,5.0
silver_ml_large_error_count,silver_vehicle_type_nulls,0.01895009526597587,0.01895009526597587,1.0,bootstrap_stable,2.0,2.0,0.0,5.0
bronze_std_fuel_consumption_ecor,bronze_mean_fuel_consumption_ecor,0.018949906091934306,0.018949906091934306,1.0,bootstrap_stable,1.0,1.0,2.0,2.0
silver_ml_residual_mean,silver_ml_prediction_std,-0.018948518422256394,0.018948518422256394,1.0,bootstrap_stable,2.0,1.0,0.0,2.0
bronze_excessive_daily_events_units,silver_vehicle_type_nulls,0.018943968826077403,0.018943968826077403,1.0,bootstrap_stable,3.0,1.0,0.0,5.0
bronze_distance_km_std,raw_max_trip_end_ts,0.018941257383449758,0.018941257383449758,1.0,bootstrap_stable,,,,
raw_std_fuel_consumption_ecor,raw_max_trip_end_ts,0.018907692289739594,0.018907692289739594,1.0,bootstrap_stable,3.0,1.0,1.0,2.0
p95_fuel_per_100km,raw_poor_gps_coverage_count,0.018888796548654867,0.018888796548654867,1.0,bootstrap_stable,,,,
bronze_distance_km_mean,raw_mean_fuel_consumption_ecor,0.018791016861494373,0.018791016861494373,1.0,bootstrap_stable,12.0,0.0,1.0,3.0
bronze_null_primary_key_rows,raw_null_count_unit_id,0.01877198876379532,0.01877198876379532,1.0,bootstrap_stable,,,,
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,0.018726706665953715,0.018726706665953715,1.0,bootstrap_stable,3.0,4.0,0.0,3.0
silver_ml_prediction_mean,silver_ml_residual_std,0.01864953035688831,0.01864953035688831,1.0,bootstrap_stable,3.0,0.0,0.0,2.0
silver_ml_large_error_count,silver_ml_residual_std,0.018649032739540713,0.018649032739540713,1.0,bootstrap_stable,2.0,2.0,0.0,2.0
silver_ml_residual_std,bronze_std_fuel_consumption_ecor,0.01858297837307364,0.01858297837307364,1.0,bootstrap_stable,,,,
silver_vehicle_info_join_miss_rate,raw_std_fuel_consumption_ecor,0.018538194701117894,0.018538194701117894,1.0,bootstrap_stable,,,,
bronze_std_fuel_consumption_fms_high,silver_ml_large_error_count,-0.018449633950478418,0.018449633950478418,1.0,bootstrap_stable,3.0,1.0,2.0,2.0
bronze_null_primary_key_rows,raw_null_count_start,0.018448276758568104,0.018448276758568104,1.0,bootstrap_stable,1.0,1.0,0.0,1.0
bronze_std_fuel_consumption_fms_high,raw_poor_gps_coverage_count,-0.018420162340748825,0.018420162340748825,1.0,bootstrap_stable,3.0,1.0,2.0,2.0
silver_ingestion_duration_sec,bronze_ingestion_duration_sec,0.01830338170568192,0.01830338170568192,1.0,bootstrap_stable,,,,
raw_mean_fuel_consumption_ecol,silver_vehicle_info_join_miss_rate,0.0182496520123119,0.0182496520123119,1.0,bootstrap_stable,2.0,0.0,1.0,2.0
bronze_invalid_avg_speed_rows,bronze_rows_dropped_by_rules,0.018245259613911814,0.018245259613911814,1.0,bootstrap_stable,3.0,4.0,2.0,2.0
bronze_invalid_avg_speed_rows,raw_avg_speed_std,0.018228628811053936,0.018228628811053936,1.0,bootstrap_stable,3.0,4.0,0.0,3.0
bronze_excessive_daily_events_units,bronze_survival_rate,0.01821910657938817,0.01821910657938817,1.0,bootstrap_stable,3.0,1.0,2.0,2.0
bronze_mean_fuel_consumption_ecor,silver_vehicle_type_nulls,0.018209491226764848,0.018209491226764848,1.0,bootstrap_stable,2.0,2.0,0.0,5.0
bronze_rows_dropped_by_rules,raw_poor_gps_coverage_count,0.018129274207675135,0.018129274207675135,1.0,bootstrap_stable,2.0,2.0,2.0,2.0
raw_ingestion_duration_sec,silver_ingestion_duration_sec,0.018100390775942877,0.018100390775942877,1.0,bootstrap_stable,,,,
bronze_mean_fuel_consumption_ecor,p95_idling_per_100km,-0.018030373773848477,0.018030373773848477,1.0,bootstrap_stable,2.0,2.0,0.0,2.0
silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls,0.01793973493078155,0.01793973493078155,1.0,bootstrap_stable,1.0,2.0,0.0,5.0
raw_null_count_avg_speed,raw_null_count_idle_time,0.017850275173256876,0.017850275173256876,1.0,bootstrap_stable,2.0,2.0,1.0,1.0
raw_mean_fuel_consumption_ecol,raw_std_fuel_consumption_ecol,0.017849044117510007,0.017849044117510007,1.0,bootstrap_stable,2.0,0.0,1.0,1.0
bronze_duration_mean,bronze_duration_std,0.017825620564576945,0.017825620564576945,1.0,bootstrap_stable,9.0,0.0,0.0,2.0
silver_avg_speed_imputed,raw_null_count_avg_speed,0.017784034384322914,0.017784034384322914,1.0,bootstrap_stable,,,,
bronze_survival_rate,bronze_correction_trips_removed,-0.01773993579904484,0.01773993579904484,1.0,bootstrap_stable,2.0,2.0,0.0,1.0
p95_idling_per_100km,raw_null_count_idle_time,-0.01733100646541653,0.01733100646541653,1.0,bootstrap_stable,,,,
bronze_survival_rate,bronze_start_after_end_rows,-0.01719596223188419,0.01719596223188419,1.0,bootstrap_stable,2.0,2.0,0.0,1.0
raw_null_count_idle_time,raw_null_count_avg_speed,0.01714638026042131,0.01714638026042131,1.0,bootstrap_stable,,,,
bronze_duration_mean,bronze_rows_dropped_by_rules,0.016630346118688976,0.016630346118688976,1.0,bootstrap_stable,9.0,0.0,2.0,2.0
raw_temporal_coverage_hours,bronze_duration_std,0.016509232722536352,0.016509232722536352,1.0,bootstrap_stable,1.0,0.0,0.0,2.0
raw_avg_speed_std,raw_avg_speed_mean,0.016410242033926856,0.016410242033926856,1.0,bootstrap_stable,,,,
raw_avg_speed_mean,raw_avg_speed_std,0.016322497861125846,0.016322497861125846,1.0,bootstrap_stable,,,,
raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_fms_high,0.015856404840700417,0.015856404840700417,1.0,bootstrap_stable,2.0,0.0,1.0,1.0
p95_idling_per_100km,bronze_idle_time_invalid_corrected,-0.015542807168377781,0.015542807168377781,1.0,bootstrap_stable,,,,
bronze_duration_std,raw_temporal_coverage_hours,0.015260477563226182,0.015260477563226182,1.0,bootstrap_stable,,,,
silver_avg_speed_imputed,raw_avg_speed_mean,0.01484430118317348,0.01484430118317348,1.0,bootstrap_stable,,,,
silver_ingestion_duration_sec,raw_null_count_unit_id,0.014658874430098718,0.014658874430098718,1.0,bootstrap_stable,,,,
raw_ingestion_duration_sec,raw_mean_fuel_consumption_ecor,0.014214437192224373,0.014214437192224373,1.0,bootstrap_stable,1.0,1.0,1.0,3.0
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,0.011884339098542113,0.011884339098542113,0.99,bootstrap_stable,2.0,2.0,0.0,2.0
