from,to,weight,abs_weight,bootstrap_frequency,source,source_out_degree,source_in_degree,target_out_degree,target_in_degree,correlation
raw_null_count_unit_id,bronze_null_primary_key_rows,0.7508412565202588,0.7508412565202588,1.0,structural_pattern,1,0,1,1,
raw_distance_std,raw_std_fuel_consumption_ecor,0.6989356859235181,0.6989356859235181,0.0,isolation_recovery,2,0,3,1,0.6989356859235185
raw_distance_std,raw_max_trip_end_ts,0.6914912497140447,0.6914912497140447,0.0,isolation_recovery,2,0,1,2,0.6914912497140453
raw_avg_speed_mean,bronze_invalid_avg_speed_rows,0.6648189200519715,0.6648189200519715,1.0,structural_pattern,1,2,3,4,
bronze_distance_km_mean,silver_vehicle_info_join_miss_rate,0.6592267534650874,0.6592267534650874,1.0,structural_pattern,12,0,1,2,
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,0.5858193934156821,0.5858193934156821,1.0,structural_pattern,2,0,0,2,
bronze_ingestion_duration_sec,raw_ingestion_duration_sec,0.3137434526969796,0.3137434526969796,1.0,structural_pattern,2,0,1,1,
raw_null_count_gps_coverage,bronze_excessive_daily_events_units,0.30085379174379345,0.30085379174379345,0.0,isolation_recovery,1,0,3,1,0.30085379174379306
bronze_distance_km_mean,bronze_survival_rate,0.2999461034827472,0.2999461034827472,1.0,structural_pattern,12,0,2,2,
bronze_distance_km_mean,p95_idling_per_100km,0.2867965750171185,0.2867965750171185,1.0,structural_pattern,12,0,0,2,
bronze_distance_km_mean,raw_null_count_avg_speed,-0.20073456619868976,0.20073456619868976,1.0,structural_pattern,12,0,2,2,
bronze_distance_km_mean,silver_avg_speed_imputed,-0.1886161976681587,0.1886161976681587,1.0,structural_pattern,12,0,0,3,
bronze_distance_km_mean,bronze_invalid_avg_speed_rows,-0.17715348343177043,0.17715348343177043,1.0,structural_pattern,12,0,3,4,
raw_std_fuel_consumption_ecor,bronze_std_fuel_consumption_ecor,-0.1429459725983239,0.1429459725983239,1.0,structural_pattern,3,1,1,1,
bronze_distance_km_mean,p95_fuel_per_100km,-0.12795805423596235,0.12795805423596235,1.0,structural_pattern,12,0,0,2,
bronze_duration_mean,bronze_invalid_avg_speed_rows,0.12549004133886466,0.12549004133886466,1.0,structural_pattern,9,0,3,4,
bronze_duration_mean,silver_ingestion_duration_sec,-0.12487827282964443,0.12487827282964443,1.0,structural_pattern,9,0,0,2,
bronze_distance_km_mean,raw_null_count_max_speed,-0.12250483193100745,0.12250483193100745,1.0,structural_pattern,12,0,0,2,
raw_null_count_avg_speed,bronze_invalid_avg_speed_rows,0.07689074994336276,0.07689074994336276,1.0,structural_pattern,2,2,3,4,
bronze_duration_mean,raw_avg_speed_mean,0.06978488812570646,0.06978488812570646,1.0,structural_pattern,9,0,1,2,
bronze_distance_km_mean,raw_avg_speed_mean,-0.05430444457568129,0.05430444457568129,1.0,structural_pattern,12,0,1,2,
bronze_duration_mean,raw_avg_speed_std,0.036980214479949584,0.036980214479949584,1.0,structural_pattern,9,0,0,3,
bronze_distance_km_mean,raw_avg_speed_std,-0.023067190972624507,0.023067190972624507,1.0,structural_pattern,12,0,0,3,
silver_ml_residual_mean,silver_ml_percentage_error_mean,-0.019180725095985233,0.019180725095985233,1.0,bootstrap_stable,2,1,0,1,
raw_mean_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,0.019146665106096406,0.019146665106096406,1.0,bootstrap_stable,2,0,0,2,
raw_std_fuel_consumption_ecor,raw_mean_fuel_consumption_ecor,0.01911459877271333,0.01911459877271333,1.0,bootstrap_stable,3,1,1,3,
bronze_distance_km_mean,bronze_distance_km_std,0.01910265110251804,0.01910265110251804,1.0,bootstrap_stable,12,0,0,2,
silver_ml_prediction_mean,silver_ml_residual_mean,-0.019100647414476785,0.019100647414476785,1.0,bootstrap_stable,3,0,2,1,
raw_std_fuel_consumption_ecol,bronze_std_fuel_consumption_ecol,0.019034638952309266,0.019034638952309266,1.0,bootstrap_stable,1,1,0,1,
silver_ml_prediction_mean,silver_ml_prediction_std,0.019015547026891812,0.019015547026891812,1.0,bootstrap_stable,3,0,0,2,
raw_poor_gps_coverage_count,p95_fuel_per_100km,0.019003391148893396,0.019003391148893396,1.0,bootstrap_stable,2,2,0,2,
bronze_std_fuel_consumption_fms_high,bronze_mean_fuel_consumption_fms_high,0.018989836896506705,0.018989836896506705,1.0,bootstrap_stable,3,1,0,2,
raw_max_trip_end_ts,bronze_distance_km_std,0.018982579774948573,0.018982579774948573,1.0,bootstrap_stable,1,2,0,2,
bronze_excessive_daily_events_units,silver_ml_large_error_count,0.0189809710728112,0.0189809710728112,1.0,bootstrap_stable,3,1,2,2,
raw_poor_gps_coverage_count,silver_vehicle_type_nulls,0.018970859742076122,0.018970859742076122,1.0,bootstrap_stable,2,2,0,5,
silver_ml_large_error_count,silver_vehicle_type_nulls,0.01895009526597587,0.01895009526597587,1.0,bootstrap_stable,2,2,0,5,
bronze_std_fuel_consumption_ecor,bronze_mean_fuel_consumption_ecor,0.018949906091934306,0.018949906091934306,1.0,bootstrap_stable,1,1,2,2,
silver_ml_residual_mean,silver_ml_prediction_std,-0.018948518422256394,0.018948518422256394,1.0,bootstrap_stable,2,1,0,2,
bronze_excessive_daily_events_units,silver_vehicle_type_nulls,0.018943968826077403,0.018943968826077403,1.0,bootstrap_stable,3,1,0,5,
raw_std_fuel_consumption_ecor,raw_max_trip_end_ts,0.018907692289739594,0.018907692289739594,1.0,bootstrap_stable,3,1,1,2,
bronze_distance_km_mean,raw_mean_fuel_consumption_ecor,0.018791016861494373,0.018791016861494373,1.0,bootstrap_stable,12,0,1,3,
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,0.018726706665953715,0.018726706665953715,1.0,bootstrap_stable,3,4,0,3,
silver_ml_prediction_mean,silver_ml_residual_std,0.01864953035688831,0.01864953035688831,1.0,bootstrap_stable,3,0,0,2,
silver_ml_large_error_count,silver_ml_residual_std,0.018649032739540713,0.018649032739540713,1.0,bootstrap_stable,2,2,0,2,
bronze_std_fuel_consumption_fms_high,silver_ml_large_error_count,-0.018449633950478418,0.018449633950478418,1.0,bootstrap_stable,3,1,2,2,
bronze_null_primary_key_rows,raw_null_count_start,0.018448276758568104,0.018448276758568104,1.0,bootstrap_stable,1,1,0,1,
bronze_std_fuel_consumption_fms_high,raw_poor_gps_coverage_count,-0.018420162340748825,0.018420162340748825,1.0,bootstrap_stable,3,1,2,2,
raw_mean_fuel_consumption_ecol,silver_vehicle_info_join_miss_rate,0.0182496520123119,0.0182496520123119,1.0,bootstrap_stable,2,0,1,2,
bronze_invalid_avg_speed_rows,bronze_rows_dropped_by_rules,0.018245259613911814,0.018245259613911814,1.0,bootstrap_stable,3,4,2,2,
bronze_invalid_avg_speed_rows,raw_avg_speed_std,0.018228628811053936,0.018228628811053936,1.0,bootstrap_stable,3,4,0,3,
bronze_excessive_daily_events_units,bronze_survival_rate,0.01821910657938817,0.01821910657938817,1.0,bootstrap_stable,3,1,2,2,
bronze_mean_fuel_consumption_ecor,silver_vehicle_type_nulls,0.018209491226764848,0.018209491226764848,1.0,bootstrap_stable,2,2,0,5,
bronze_rows_dropped_by_rules,raw_poor_gps_coverage_count,0.018129274207675135,0.018129274207675135,1.0,bootstrap_stable,2,2,2,2,
bronze_mean_fuel_consumption_ecor,p95_idling_per_100km,-0.018030373773848477,0.018030373773848477,1.0,bootstrap_stable,2,2,0,2,
silver_vehicle_info_join_miss_rate,silver_vehicle_type_nulls,0.01793973493078155,0.01793973493078155,1.0,bootstrap_stable,1,2,0,5,
raw_null_count_avg_speed,raw_null_count_idle_time,0.017850275173256876,0.017850275173256876,1.0,bootstrap_stable,2,2,1,1,
raw_mean_fuel_consumption_ecol,raw_std_fuel_consumption_ecol,0.017849044117510007,0.017849044117510007,1.0,bootstrap_stable,2,0,1,1,
bronze_duration_mean,bronze_duration_std,0.017825620564576945,0.017825620564576945,1.0,bootstrap_stable,9,0,0,2,
bronze_survival_rate,bronze_correction_trips_removed,-0.01773993579904484,0.01773993579904484,1.0,bootstrap_stable,2,2,0,1,
bronze_survival_rate,bronze_start_after_end_rows,-0.01719596223188419,0.01719596223188419,1.0,bootstrap_stable,2,2,0,1,
bronze_duration_mean,bronze_rows_dropped_by_rules,0.016630346118688976,0.016630346118688976,1.0,bootstrap_stable,9,0,2,2,
raw_std_fuel_consumption_fms_high,bronze_std_fuel_consumption_fms_high,-0.01654382820955984,0.01654382820955984,1.0,structural_pattern,1,1,3,1,
raw_temporal_coverage_hours,bronze_duration_std,0.016509232722536352,0.016509232722536352,1.0,bootstrap_stable,1,0,0,2,
raw_mean_fuel_consumption_fms_high,raw_std_fuel_consumption_fms_high,0.015856404840700417,0.015856404840700417,1.0,bootstrap_stable,2,0,1,1,
raw_null_count_idle_time,bronze_idle_time_invalid_corrected,-0.014882336221327636,0.014882336221327636,1.0,structural_pattern,1,1,0,2,
bronze_duration_mean,raw_null_count_avg_speed,-0.014369129729047135,0.014369129729047135,1.0,structural_pattern,9,0,2,2,
raw_ingestion_duration_sec,raw_mean_fuel_consumption_ecor,0.014214437192224373,0.014214437192224373,1.0,bootstrap_stable,1,1,1,3,
bronze_duration_mean,silver_avg_speed_imputed,-0.012824084515325598,0.012824084515325598,1.0,structural_pattern,9,0,0,3,
bronze_duration_mean,raw_null_count_max_speed,-0.012339537945847953,0.012339537945847953,1.0,structural_pattern,9,0,0,2,
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,0.011884339098542113,0.011884339098542113,0.99,bootstrap_stable,2,2,0,2,
raw_mean_fuel_consumption_ecor,bronze_mean_fuel_consumption_ecor,0.010979401769409118,0.010979401769409118,1.0,structural_pattern,1,3,2,2,
