from,to,type
bronze_survival_rate,bronze_correction_trips_removed,directed
bronze_distance_km_mean,bronze_distance_km_std,directed
bronze_distance_km_mean,raw_ingestion_duration_sec,directed
bronze_distance_km_mean,bronze_distance_km_std,directed
bronze_distance_km_std,raw_max_trip_end_ts,directed
bronze_duration_mean,bronze_duration_std,directed
bronze_duration_mean,bronze_rows_dropped_by_rules,directed
bronze_duration_mean,bronze_duration_std,directed
bronze_duration_std,bronze_survival_rate,directed
bronze_duration_std,raw_temporal_coverage_hours,directed
bronze_excessive_daily_events_units,bronze_survival_rate,directed
bronze_excessive_daily_events_units,silver_ml_large_error_count,directed
silver_vehicle_type_nulls,bronze_excessive_daily_events_units,directed
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,directed
p95_idling_per_100km,bronze_idle_time_invalid_corrected,directed
raw_null_count_unit_id,bronze_ingestion_duration_sec,directed
silver_ingestion_duration_sec,bronze_ingestion_duration_sec,directed
bronze_invalid_avg_speed_rows,bronze_rows_dropped_by_rules,directed
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,directed
bronze_invalid_avg_speed_rows,silver_vehicle_type_nulls,directed
bronze_null_primary_key_rows,raw_null_count_start,directed
bronze_null_primary_key_rows,raw_null_count_unit_id,directed
bronze_duration_mean,bronze_rows_dropped_by_rules,directed
bronze_rows_dropped_by_rules,bronze_idle_time_invalid_corrected,directed
bronze_invalid_avg_speed_rows,bronze_rows_dropped_by_rules,directed
bronze_rows_dropped_by_rules,raw_poor_gps_coverage_count,directed
bronze_survival_rate,bronze_start_after_end_rows,directed
bronze_survival_rate,bronze_correction_trips_removed,directed
bronze_duration_std,bronze_survival_rate,directed
bronze_excessive_daily_events_units,bronze_survival_rate,directed
bronze_survival_rate,bronze_start_after_end_rows,directed
p95_fuel_per_100km,raw_poor_gps_coverage_count,directed
p95_idling_per_100km,bronze_idle_time_invalid_corrected,directed
p95_idling_per_100km,raw_distance_std,directed
p95_idling_per_100km,raw_null_count_idle_time,directed
raw_avg_speed_std,raw_avg_speed_mean,directed
silver_avg_speed_imputed,raw_avg_speed_mean,directed
raw_avg_speed_mean,raw_avg_speed_std,directed
p95_idling_per_100km,raw_distance_std,directed
raw_max_trip_end_ts,raw_distance_std,directed
bronze_distance_km_mean,raw_ingestion_duration_sec,directed
silver_ingestion_duration_sec,raw_ingestion_duration_sec,directed
bronze_distance_km_std,raw_max_trip_end_ts,directed
raw_max_trip_end_ts,raw_distance_std,directed
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,directed
raw_null_count_idle_time,raw_null_count_avg_speed,directed
silver_avg_speed_imputed,raw_null_count_avg_speed,directed
p95_idling_per_100km,raw_null_count_idle_time,directed
raw_null_count_avg_speed,raw_null_count_idle_time,directed
bronze_null_primary_key_rows,raw_null_count_start,directed
bronze_ingestion_duration_sec,raw_null_count_unit_id,directed
bronze_null_primary_key_rows,raw_null_count_unit_id,directed
bronze_rows_dropped_by_rules,raw_poor_gps_coverage_count,directed
p95_fuel_per_100km,raw_poor_gps_coverage_count,directed
raw_poor_gps_coverage_count,silver_vehicle_type_nulls,directed
bronze_duration_std,raw_temporal_coverage_hours,directed
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,directed
silver_avg_speed_imputed,raw_avg_speed_mean,directed
silver_avg_speed_imputed,raw_null_count_avg_speed,directed
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,directed
raw_ingestion_duration_sec,silver_ingestion_duration_sec,directed
bronze_excessive_daily_events_units,silver_ml_large_error_count,directed
silver_ml_large_error_count,silver_ml_prediction_std,directed
silver_ml_large_error_count,silver_ml_residual_std,directed
silver_ml_large_error_count,silver_vehicle_type_nulls,directed
silver_ml_residual_mean,silver_ml_percentage_error_mean,directed
silver_ml_prediction_mean,silver_ml_prediction_std,directed
silver_ml_prediction_mean,silver_ml_residual_mean,directed
silver_ml_prediction_mean,silver_ml_residual_std,directed
silver_ml_large_error_count,silver_ml_prediction_std,directed
silver_ml_prediction_mean,silver_ml_prediction_std,directed
silver_ml_percentage_error_mean,silver_ml_residual_mean,directed
silver_ml_prediction_mean,silver_ml_residual_mean,directed
silver_ml_large_error_count,silver_ml_residual_std,directed
silver_ml_prediction_mean,silver_ml_residual_std,directed
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,directed
silver_vehicle_type_nulls,silver_vehicle_info_join_miss_rate,directed
silver_vehicle_type_nulls,bronze_excessive_daily_events_units,directed
bronze_invalid_avg_speed_rows,silver_vehicle_type_nulls,directed
raw_poor_gps_coverage_count,silver_vehicle_type_nulls,directed
silver_ml_large_error_count,silver_vehicle_type_nulls,directed
silver_vehicle_type_nulls,silver_vehicle_info_join_miss_rate,directed
