from,to,p_a_to_b,a_causes_b,p_b_to_a,b_causes_a,min_p
bronze_survival_rate,bronze_duration_mean,0.29677727721295194,False,0.000342240143305715,False,0.000342240143305715
bronze_start_after_end_rows_lag1,bronze_survival_rate,0.6896247891842235,False,0.0027137185479483177,False,0.0027137185479483177
raw_avg_speed_std,silver_vehicle_info_join_miss_rate_lag1,0.0092882095321005,False,0.3553544731141376,False,0.0092882095321005
raw_avg_speed_std,bronze_survival_rate_lag1,0.7080633949471955,False,0.015593135878283546,False,0.015593135878283546
bronze_start_after_end_rows_lag1,silver_vehicle_info_join_miss_rate,0.05893638078510761,False,0.029741024804548682,False,0.029741024804548682
bronze_duration_mean,bronze_duration_std,0.11007815424508494,False,0.06859050959131932,False,0.06859050959131932
bronze_duration_mean_lag1,bronze_duration_std_lag1,0.13236164631199737,False,0.0758655512262857,False,0.0758655512262857
silver_vehicle_info_join_miss_rate_lag1,bronze_survival_rate_lag1,0.3135462712884386,False,0.17146032987335946,False,0.17146032987335946
bronze_duration_mean_lag1,bronze_survival_rate,0.9858878830557168,False,0.18762410643721872,False,0.18762410643721872
bronze_start_after_end_rows_lag1,raw_avg_speed_std,0.21223373479339877,False,0.5984710974769973,False,0.21223373479339877
raw_avg_speed_std,silver_vehicle_info_join_miss_rate,0.998856538095103,False,0.24027332097006293,False,0.24027332097006293
silver_ml_imputed_fuel_std_lag1,bronze_duration_std,0.6242534188652025,False,0.2586344975768702,False,0.2586344975768702
silver_vehicle_info_join_miss_rate,silver_ml_imputed_fuel_std_lag1,0.6960523879667562,False,0.2595075901783536,False,0.2595075901783536
bronze_duration_mean,silver_ml_imputed_fuel_std_lag1,0.2673658767533099,False,0.5849234057111861,False,0.2673658767533099
bronze_start_after_end_rows_lag1,silver_ml_imputed_fuel_std_lag1,0.797576753416543,False,0.3030795396379183,False,0.3030795396379183
silver_vehicle_info_join_miss_rate_lag1,silver_ml_imputed_fuel_std_lag1,0.3748571750695947,False,0.60777292858494,False,0.3748571750695947
raw_avg_speed_std,bronze_survival_rate,0.7363064638810235,False,0.37917905033748545,False,0.37917905033748545
bronze_duration_std_lag1,silver_vehicle_info_join_miss_rate,0.8137327159014276,False,0.6213360143158504,False,0.6213360143158504
bronze_duration_mean_lag1,silver_vehicle_info_join_miss_rate,0.7399381036596099,False,0.6749969485973256,False,0.6749969485973256
bronze_start_after_end_rows_lag1,bronze_survival_rate_lag1,0.8486354230919302,False,0.7217467036844556,False,0.7217467036844556
raw_avg_speed_std,silver_ml_imputed_fuel_std_lag1,0.7578551526766387,False,0.9610096312457599,False,0.7578551526766387
p95_idling_per_100km,mean_idling_per_100km,1.0,False,1.0,False,1.0
p50_idling_per_100km,mean_idling_per_100km,1.0,False,1.0,False,1.0
p95_idling_per_100km,p50_idling_per_100km,1.0,False,1.0,False,1.0
