from,to,partial_corr,abs_partial_corr,edge_type,source
bronze_duration_mean,bronze_duration_std,0.7080308620920317,0.7080308620920317,undirected,graphical_lasso_raw
raw_distance_mean,raw_distance_std,0.6470327907566943,0.6470327907566943,undirected,graphical_lasso_raw
bronze_distance_km_mean,bronze_distance_km_std,0.6367658188358585,0.6367658188358585,undirected,graphical_lasso_raw
raw_ingestion_duration_sec,silver_ingestion_duration_sec,0.4796343445582873,0.4796343445582873,undirected,graphical_lasso_raw
bronze_excessive_daily_events_units,silver_avg_speed_imputed,0.4523802946361807,0.4523802946361807,undirected,graphical_lasso_raw
silver_ml_imputed_fuel_std,silver_ml_prediction_std,0.4434655389712491,0.4434655389712491,undirected,graphical_lasso_raw
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,0.42725041224055715,0.42725041224055715,undirected,graphical_lasso_raw
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,0.41153061655843065,0.41153061655843065,undirected,graphical_lasso_raw
mean_fuel_per_100km,silver_avg_speed_imputed,0.38560814855922365,0.38560814855922365,undirected,graphical_lasso_raw
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,0.30535675514689364,0.30535675514689364,undirected,graphical_lasso_raw
silver_ml_prediction_mean,silver_ml_prediction_std,0.3010466306666419,0.3010466306666419,undirected,graphical_lasso_raw
bronze_impossible_speed_events,bronze_ingestion_duration_sec,0.2901304544155955,0.2901304544155955,undirected,graphical_lasso_raw
raw_avg_speed_mean,raw_distance_mean,-0.27130153197536455,0.27130153197536455,undirected,graphical_lasso_raw
bronze_distance_km_mean,raw_max_trip_end_ts,0.2666170205849574,0.2666170205849574,undirected,graphical_lasso_raw
silver_ml_imputed_fuel_mean,silver_ml_imputed_fuel_std,0.25908003967115295,0.25908003967115295,undirected,graphical_lasso_raw
silver_ml_prediction_mean,silver_ml_residual_std,0.25713160935742335,0.25713160935742335,undirected,graphical_lasso_raw
bronze_excessive_daily_events_units,mean_fuel_per_100km,0.2290350917023239,0.2290350917023239,undirected,graphical_lasso_raw
bronze_impossible_speed_events,silver_vehicle_info_join_miss_rate,0.21482098301985,0.21482098301985,undirected,graphical_lasso_raw
bronze_impossible_speed_events,silver_avg_speed_imputed,0.20187918342032427,0.20187918342032427,undirected,graphical_lasso_raw
raw_avg_speed_mean,silver_vehicle_info_join_miss_rate,0.19093567818621077,0.19093567818621077,undirected,graphical_lasso_raw
bronze_duration_std,raw_min_trip_start_ts,-0.1826919351257746,0.1826919351257746,undirected,graphical_lasso_raw
raw_distance_std,raw_max_trip_end_ts,0.16262032929040082,0.16262032929040082,undirected,graphical_lasso_raw
bronze_survival_rate,raw_avg_speed_mean,0.15557065606904377,0.15557065606904377,undirected,graphical_lasso_raw
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,0.15378675120854948,0.15378675120854948,undirected,graphical_lasso_raw
mean_fuel_per_100km,silver_ml_residual_std,0.14872015748640413,0.14872015748640413,undirected,graphical_lasso_raw
silver_ml_imputed_fuel_std,silver_ml_percentage_error_mean,0.13841139200896993,0.13841139200896993,undirected,graphical_lasso_raw
bronze_excessive_daily_events_units,silver_ml_residual_std,0.13434089096908094,0.13434089096908094,undirected,graphical_lasso_raw
bronze_distance_km_std,raw_max_trip_end_ts,0.12859059335234255,0.12859059335234255,undirected,graphical_lasso_raw
silver_ml_percentage_error_mean,silver_ml_prediction_mean,0.1265013700280699,0.1265013700280699,undirected,graphical_lasso_raw
mean_idling_per_100km,raw_avg_speed_std,-0.12623094182562736,0.12623094182562736,undirected,graphical_lasso_raw
mean_idling_per_100km,raw_avg_speed_mean,-0.1252134408607334,0.1252134408607334,undirected,graphical_lasso_raw
bronze_excessive_daily_events_units,bronze_survival_rate,-0.11731348891272066,0.11731348891272066,undirected,graphical_lasso_raw
raw_avg_speed_std,silver_vehicle_info_join_miss_rate,0.10715896870062432,0.10715896870062432,undirected,graphical_lasso_raw
raw_avg_speed_mean,raw_distance_std,-0.10593628627113975,0.10593628627113975,undirected,graphical_lasso_raw
bronze_ingestion_duration_sec,mean_fuel_per_100km,0.10283653362488036,0.10283653362488036,undirected,graphical_lasso_raw
