from,to,edge_type,source
bronze_distance_km_std,bronze_distance_km_mean,directed,pc_algorithm
raw_max_trip_end_ts,bronze_distance_km_mean,directed,pc_algorithm
bronze_distance_km_mean,bronze_distance_km_std,directed,pc_algorithm
bronze_duration_mean,bronze_duration_std,directed,pc_algorithm
bronze_duration_mean,bronze_duration_std,directed,pc_algorithm
raw_min_trip_start_ts,bronze_duration_std,directed,pc_algorithm
bronze_excessive_daily_events_units,bronze_survival_rate,directed,pc_algorithm
bronze_excessive_daily_events_units,silver_avg_speed_imputed,directed,pc_algorithm
bronze_ingestion_duration_sec,bronze_impossible_speed_events,directed,pc_algorithm
bronze_ingestion_duration_sec,bronze_impossible_speed_events,directed,pc_algorithm
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,directed,pc_algorithm
bronze_excessive_daily_events_units,bronze_survival_rate,directed,pc_algorithm
raw_avg_speed_mean,bronze_survival_rate,directed,pc_algorithm
silver_avg_speed_imputed,mean_fuel_per_100km,directed,pc_algorithm
raw_avg_speed_std,mean_idling_per_100km,directed,pc_algorithm
raw_avg_speed_mean,bronze_survival_rate,directed,pc_algorithm
raw_avg_speed_mean,raw_distance_mean,directed,pc_algorithm
raw_avg_speed_mean,silver_vehicle_info_join_miss_rate,directed,pc_algorithm
mean_idling_per_100km,raw_avg_speed_std,directed,pc_algorithm
raw_avg_speed_mean,raw_distance_mean,directed,pc_algorithm
raw_distance_std,raw_distance_mean,directed,pc_algorithm
raw_distance_std,raw_distance_mean,directed,pc_algorithm
raw_distance_std,raw_max_trip_end_ts,directed,pc_algorithm
raw_max_trip_end_ts,bronze_distance_km_mean,directed,pc_algorithm
raw_distance_std,raw_max_trip_end_ts,directed,pc_algorithm
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,directed,pc_algorithm
bronze_excessive_daily_events_units,silver_avg_speed_imputed,directed,pc_algorithm
bronze_impossible_speed_events,silver_avg_speed_imputed,directed,pc_algorithm
mean_fuel_per_100km,silver_avg_speed_imputed,directed,pc_algorithm
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,directed,pc_algorithm
raw_ingestion_duration_sec,silver_ingestion_duration_sec,directed,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,directed,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,directed,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,directed,pc_algorithm
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_std,directed,pc_algorithm
silver_ml_prediction_std,silver_ml_imputed_fuel_std,directed,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,directed,pc_algorithm
silver_ml_imputed_fuel_std,silver_ml_percentage_error_mean,directed,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,directed,pc_algorithm
silver_ml_residual_std,silver_ml_prediction_mean,directed,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,directed,pc_algorithm
silver_ml_imputed_fuel_std,silver_ml_prediction_std,directed,pc_algorithm
silver_ml_prediction_mean,silver_ml_residual_std,directed,pc_algorithm
bronze_impossible_speed_events,silver_vehicle_info_join_miss_rate,directed,pc_algorithm
raw_avg_speed_mean,silver_vehicle_info_join_miss_rate,directed,pc_algorithm
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,directed,pc_algorithm
raw_input_record_count,bronze_input_rows,whitelisted,pc_algorithm
raw_ingestion_duration_sec,bronze_ingestion_duration_sec,whitelisted,pc_algorithm
raw_min_trip_start_ts,bronze_input_rows,whitelisted,pc_algorithm
raw_max_trip_end_ts,bronze_output_rows,whitelisted,pc_algorithm
raw_distance_mean,bronze_distance_km_mean,whitelisted,pc_algorithm
raw_avg_speed_mean,silver_avg_speed_imputed,whitelisted,pc_algorithm
raw_unique_units,bronze_output_rows,whitelisted,pc_algorithm
raw_null_count_unit_id,bronze_null_primary_key_rows,whitelisted,pc_algorithm
bronze_input_rows,silver_input_data_count,whitelisted,pc_algorithm
bronze_output_rows,silver_count_after_feature_engineering,whitelisted,pc_algorithm
bronze_survival_rate,silver_survival_rate,whitelisted,pc_algorithm
bronze_distance_km_mean,silver_avg_speed_imputed,whitelisted,pc_algorithm
bronze_duration_mean,silver_avg_speed_imputed,whitelisted,pc_algorithm
bronze_distance_km_mean,mean_fuel_per_100km,whitelisted,pc_algorithm
bronze_distance_km_mean,p50_fuel_per_100km,whitelisted,pc_algorithm
bronze_distance_km_mean,p95_fuel_per_100km,whitelisted,pc_algorithm
silver_ml_residual_mean,silver_ml_abs_residual_mean,whitelisted,pc_algorithm
