from,to,edge_type,weight,abs_weight,source
bronze_distance_km_std,bronze_distance_km_mean,directed,1.0,1.0,pc_algorithm
raw_max_trip_end_ts,bronze_distance_km_mean,directed,1.0,1.0,pc_algorithm
bronze_distance_km_mean,bronze_distance_km_std,directed,1.0,1.0,pc_algorithm
bronze_duration_mean,bronze_duration_std,directed,1.0,1.0,pc_algorithm
bronze_duration_mean,bronze_duration_std,directed,1.0,1.0,pc_algorithm
raw_min_trip_start_ts,bronze_duration_std,directed,1.0,1.0,pc_algorithm
bronze_excessive_daily_events_units,bronze_survival_rate,directed,1.0,1.0,pc_algorithm
bronze_excessive_daily_events_units,silver_avg_speed_imputed,directed,1.0,1.0,pc_algorithm
bronze_ingestion_duration_sec,bronze_impossible_speed_events,directed,1.0,1.0,pc_algorithm
bronze_ingestion_duration_sec,bronze_impossible_speed_events,directed,1.0,1.0,pc_algorithm
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,directed,1.0,1.0,pc_algorithm
bronze_excessive_daily_events_units,bronze_survival_rate,directed,1.0,1.0,pc_algorithm
raw_avg_speed_mean,bronze_survival_rate,directed,1.0,1.0,pc_algorithm
silver_avg_speed_imputed,mean_fuel_per_100km,directed,1.0,1.0,pc_algorithm
raw_avg_speed_std,mean_idling_per_100km,directed,1.0,1.0,pc_algorithm
raw_avg_speed_mean,bronze_survival_rate,directed,1.0,1.0,pc_algorithm
raw_avg_speed_mean,raw_distance_mean,directed,1.0,1.0,pc_algorithm
raw_avg_speed_mean,silver_vehicle_info_join_miss_rate,directed,1.0,1.0,pc_algorithm
mean_idling_per_100km,raw_avg_speed_std,directed,1.0,1.0,pc_algorithm
raw_avg_speed_mean,raw_distance_mean,directed,1.0,1.0,pc_algorithm
raw_distance_std,raw_distance_mean,directed,1.0,1.0,pc_algorithm
raw_distance_std,raw_distance_mean,directed,1.0,1.0,pc_algorithm
raw_distance_std,raw_max_trip_end_ts,directed,1.0,1.0,pc_algorithm
raw_max_trip_end_ts,bronze_distance_km_mean,directed,1.0,1.0,pc_algorithm
raw_distance_std,raw_max_trip_end_ts,directed,1.0,1.0,pc_algorithm
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,directed,1.0,1.0,pc_algorithm
bronze_excessive_daily_events_units,silver_avg_speed_imputed,directed,1.0,1.0,pc_algorithm
bronze_impossible_speed_events,silver_avg_speed_imputed,directed,1.0,1.0,pc_algorithm
mean_fuel_per_100km,silver_avg_speed_imputed,directed,1.0,1.0,pc_algorithm
bronze_ingestion_duration_sec,silver_ingestion_duration_sec,directed,1.0,1.0,pc_algorithm
raw_ingestion_duration_sec,silver_ingestion_duration_sec,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,directed,1.0,1.0,pc_algorithm
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_std,directed,1.0,1.0,pc_algorithm
silver_ml_prediction_std,silver_ml_imputed_fuel_std,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_percentage_error_mean,directed,1.0,1.0,pc_algorithm
silver_ml_percentage_error_mean,silver_ml_imputed_fuel_std,directed,1.0,1.0,pc_algorithm
silver_ml_percentage_error_mean,silver_ml_prediction_mean,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_prediction_mean,directed,1.0,1.0,pc_algorithm
silver_ml_percentage_error_mean,silver_ml_prediction_mean,directed,1.0,1.0,pc_algorithm
silver_ml_residual_std,silver_ml_prediction_mean,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_mean,silver_ml_prediction_std,directed,1.0,1.0,pc_algorithm
silver_ml_imputed_fuel_std,silver_ml_prediction_std,directed,1.0,1.0,pc_algorithm
silver_ml_prediction_mean,silver_ml_residual_std,directed,1.0,1.0,pc_algorithm
bronze_impossible_speed_events,silver_vehicle_info_join_miss_rate,directed,1.0,1.0,pc_algorithm
raw_avg_speed_mean,silver_vehicle_info_join_miss_rate,directed,1.0,1.0,pc_algorithm
raw_max_trip_end_ts,silver_vehicle_info_join_miss_rate,directed,1.0,1.0,pc_algorithm
raw_avg_speed_mean,bronze_duration_mean,directed,0.2679932420429883,0.2679932420429883,whitelist_estimated
bronze_distance_km_mean,silver_avg_speed_imputed,directed,-0.24363582242539575,0.24363582242539575,whitelist_estimated
raw_distance_mean,bronze_distance_km_mean,directed,0.21567385546579065,0.21567385546579065,whitelist_estimated
bronze_distance_km_mean,mean_fuel_per_100km,directed,-0.19001369488084696,0.19001369488084696,whitelist_estimated
bronze_duration_mean,silver_avg_speed_imputed,directed,-0.10281728030013096,0.10281728030013096,whitelist_estimated
bronze_distance_km_mean,mean_idling_per_100km,directed,-0.07977616644072068,0.07977616644072068,whitelist_estimated
