from,to,weight,abs_weight,bootstrap_frequency,source,source_out_degree,source_in_degree,target_out_degree,target_in_degree
silver_ml_residual_mean,silver_ml_percentage_error_mean,-0.017456830752762297,0.017456830752762297,1.0,bootstrap_stable,1.0,1.0,0.0,1.0
bronze_distance_km_mean,bronze_distance_km_std,0.017424410290493984,0.017424410290493984,1.0,bootstrap_stable,12.0,0.0,0.0,3.0
silver_ml_percentage_error_mean,silver_ml_residual_mean,-0.01740132202083462,0.01740132202083462,1.0,bootstrap_stable,,,,
mean_fuel_consumption_ecor,std_fuel_consumption_ecor,0.01731124989299607,0.01731124989299607,1.0,bootstrap_stable,1.0,1.0,0.0,3.0
silver_ml_prediction_mean,silver_ml_prediction_std,0.017301128549884245,0.017301128549884245,1.0,bootstrap_stable,3.0,0.0,0.0,3.0
bronze_excessive_daily_events_units,silver_ml_large_error_count,0.017292450754369738,0.017292450754369738,1.0,bootstrap_stable,3.0,1.0,3.0,1.0
silver_ml_prediction_mean,silver_ml_residual_mean,-0.01729084447641746,0.01729084447641746,1.0,bootstrap_stable,3.0,0.0,1.0,1.0
silver_vehicle_type_nulls,raw_poor_gps_coverage_count,0.017290599539787635,0.017290599539787635,1.0,bootstrap_stable,,,,
silver_vehicle_info_join_miss_rate,raw_max_trip_end_ts,0.017283223318798526,0.017283223318798526,1.0,bootstrap_stable,,,,
raw_max_trip_end_ts,bronze_distance_km_std,0.017243712640377988,0.017243712640377988,1.0,bootstrap_stable,2.0,1.0,0.0,3.0
raw_poor_gps_coverage_count,p95_fuel_per_100km,0.01722452299926908,0.01722452299926908,1.0,bootstrap_stable,2.0,1.0,0.0,2.0
bronze_excessive_daily_events_units,silver_vehicle_type_nulls,0.01720865302301567,0.01720865302301567,1.0,bootstrap_stable,3.0,1.0,0.0,5.0
raw_poor_gps_coverage_count,silver_vehicle_type_nulls,0.017207491453387267,0.017207491453387267,1.0,bootstrap_stable,2.0,1.0,0.0,5.0
bronze_distance_km_std,raw_max_trip_end_ts,0.01719805910013184,0.01719805910013184,1.0,bootstrap_stable,,,,
silver_ml_large_error_count,silver_vehicle_type_nulls,0.0171922161813356,0.0171922161813356,1.0,bootstrap_stable,3.0,1.0,0.0,5.0
bronze_null_primary_key_rows,raw_null_count_start,0.017184067354616188,0.017184067354616188,1.0,bootstrap_stable,1.0,1.0,0.0,1.0
p95_fuel_per_100km,raw_poor_gps_coverage_count,0.017133632988545023,0.017133632988545023,1.0,bootstrap_stable,,,,
std_fuel_consumption_ecor,raw_max_trip_end_ts,0.017123139586634976,0.017123139586634976,1.0,bootstrap_stable,,,,
raw_max_trip_end_ts,std_fuel_consumption_ecor,0.017112659572311728,0.017112659572311728,1.0,bootstrap_stable,2.0,1.0,0.0,3.0
bronze_distance_km_mean,mean_fuel_consumption_ecor,0.01707517714259013,0.01707517714259013,1.0,bootstrap_stable,12.0,0.0,1.0,1.0
silver_ml_prediction_mean,silver_ml_residual_std,0.016838193452841713,0.016838193452841713,1.0,bootstrap_stable,3.0,0.0,0.0,2.0
bronze_invalid_avg_speed_rows,silver_avg_speed_imputed,0.016817605177355782,0.016817605177355782,1.0,bootstrap_stable,4.0,4.0,0.0,3.0
silver_ml_large_error_count,silver_ml_residual_std,0.016804646375823736,0.016804646375823736,1.0,bootstrap_stable,3.0,1.0,0.0,2.0
