from,to,weight,abs_weight,bootstrap_frequency,source,source_out_degree,source_in_degree,target_out_degree,target_in_degree,correlation
raw_distance_std,raw_max_trip_end_ts,0.6900709461640212,0.6900709461640212,0.0,isolation_recovery,2,0,2,1,0.6900709461640209
raw_avg_speed_mean,bronze_invalid_avg_speed_rows,0.6650728481847935,0.6650728481847935,1.0,structural_pattern,1,2,4,4,
bronze_distance_km_mean,silver_vehicle_info_join_miss_rate,0.6511385235309752,0.6511385235309752,1.0,structural_pattern,12,0,2,2,
raw_distance_std,bronze_distance_km_std,0.6370044465618406,0.6370044465618406,0.0,isolation_recovery,2,0,0,3,0.6370044465618409
raw_null_count_unit_id,bronze_null_primary_key_rows,0.6158109334452257,0.6158109334452257,1.0,structural_pattern,1,1,1,1,
bronze_distance_km_mean,bronze_survival_rate,0.34730604146162125,0.34730604146162125,1.0,structural_pattern,12,0,2,3,
raw_ingestion_duration_sec,bronze_ingestion_duration_sec,0.3126759370582365,0.3126759370582365,1.0,structural_pattern,1,0,1,2,
raw_null_count_gps_coverage,bronze_excessive_daily_events_units,0.3044468484019832,0.3044468484019832,0.0,isolation_recovery,1,0,3,1,0.3044468484019832
bronze_distance_km_mean,p95_idling_per_100km,0.28631722693333467,0.28631722693333467,1.0,structural_pattern,12,0,0,1,
bronze_distance_km_mean,raw_null_count_avg_speed,-0.20134193820481877,0.20134193820481877,1.0,structural_pattern,12,0,2,2,
bronze_distance_km_mean,silver_avg_speed_imputed,-0.18625723505405764,0.18625723505405764,1.0,structural_pattern,12,0,0,3,
bronze_distance_km_mean,bronze_invalid_avg_speed_rows,-0.17380963007327546,0.17380963007327546,1.0,structural_pattern,12,0,4,4,
bronze_duration_mean,silver_ingestion_duration_sec,-0.14555417070246507,0.14555417070246507,1.0,structural_pattern,9,0,1,1,
bronze_distance_km_mean,p95_fuel_per_100km,-0.13055387269762214,0.13055387269762214,1.0,structural_pattern,12,0,0,2,
bronze_duration_mean,bronze_invalid_avg_speed_rows,0.12794269086594873,0.12794269086594873,1.0,structural_pattern,9,0,4,4,
bronze_distance_km_mean,raw_null_count_max_speed,-0.12269649809670795,0.12269649809670795,1.0,structural_pattern,12,0,0,2,
raw_null_count_avg_speed,bronze_invalid_avg_speed_rows,0.07655699454917801,0.07655699454917801,1.0,structural_pattern,2,2,4,4,
bronze_duration_mean,raw_avg_speed_mean,0.07022734999710181,0.07022734999710181,1.0,structural_pattern,9,0,1,2,
bronze_distance_km_mean,raw_avg_speed_mean,-0.05409149539607528,0.05409149539607528,1.0,structural_pattern,12,0,1,2,
bronze_duration_mean,raw_avg_speed_std,0.03889151392995305,0.03889151392995305,1.0,structural_pattern,9,0,0,3,
bronze_distance_km_mean,raw_avg_speed_std,-0.018755216486894245,0.018755216486894245,1.0,structural_pattern,12,0,0,3,
silver_ml_residual_mean,silver_ml_percentage_error_mean,-0.017456830752762297,0.017456830752762297,1.0,bootstrap_stable,1,1,0,1,
bronze_distance_km_mean,bronze_distance_km_std,0.017424410290493984,0.017424410290493984,1.0,bootstrap_stable,12,0,0,3,
mean_fuel_consumption_ecor,std_fuel_consumption_ecor,0.01731124989299607,0.01731124989299607,1.0,bootstrap_stable,1,1,0,3,
silver_ml_prediction_mean,silver_ml_prediction_std,0.017301128549884245,0.017301128549884245,1.0,bootstrap_stable,3,0,0,3,
bronze_excessive_daily_events_units,silver_ml_large_error_count,0.017292450754369738,0.017292450754369738,1.0,bootstrap_stable,3,1,3,1,
silver_ml_prediction_mean,silver_ml_residual_mean,-0.01729084447641746,0.01729084447641746,1.0,bootstrap_stable,3,0,1,1,
raw_max_trip_end_ts,bronze_distance_km_std,0.017243712640377988,0.017243712640377988,1.0,bootstrap_stable,2,1,0,3,
raw_poor_gps_coverage_count,p95_fuel_per_100km,0.01722452299926908,0.01722452299926908,1.0,bootstrap_stable,2,1,0,2,
bronze_excessive_daily_events_units,silver_vehicle_type_nulls,0.01720865302301567,0.01720865302301567,1.0,bootstrap_stable,3,1,0,5,
raw_poor_gps_coverage_count,silver_vehicle_type_nulls,0.017207491453387267,0.017207491453387267,1.0,bootstrap_stable,2,1,0,5,
silver_ml_large_error_count,silver_vehicle_type_nulls,0.0171922161813356,0.0171922161813356,1.0,bootstrap_stable,3,1,0,5,
bronze_null_primary_key_rows,raw_null_count_start,0.017184067354616188,0.017184067354616188,1.0,bootstrap_stable,1,1,0,1,
raw_max_trip_end_ts,std_fuel_consumption_ecor,0.017112659572311728,0.017112659572311728,1.0,bootstrap_stable,2,1,0,3,
bronze_distance_km_mean,mean_fuel_consumption_ecor,0.01707517714259013,0.01707517714259013,1.0,bootstrap_stable,12,0,1,1,
