from,to
raw_avg_speed_mean,bronze_invalid_avg_speed_rows
raw_ingestion_duration_sec,bronze_ingestion_duration_sec
bronze_duration_mean,silver_ingestion_duration_sec
raw_null_count_avg_speed,bronze_invalid_avg_speed_rows
raw_null_count_idle_time,bronze_idle_time_invalid_corrected
raw_null_count_unit_id,bronze_null_primary_key_rows
bronze_distance_km_mean,bronze_invalid_avg_speed_rows
bronze_distance_km_mean,bronze_survival_rate
bronze_distance_km_mean,p95_fuel_per_100km
bronze_distance_km_mean,p95_idling_per_100km
bronze_distance_km_mean,raw_avg_speed_mean
bronze_distance_km_mean,raw_avg_speed_std
bronze_distance_km_mean,raw_null_count_avg_speed
bronze_distance_km_mean,raw_null_count_max_speed
bronze_distance_km_mean,silver_avg_speed_imputed
bronze_distance_km_mean,silver_vehicle_info_join_miss_rate
bronze_duration_mean,bronze_invalid_avg_speed_rows
bronze_duration_mean,raw_avg_speed_mean
bronze_duration_mean,raw_avg_speed_std
bronze_duration_mean,raw_null_count_avg_speed
bronze_duration_mean,raw_null_count_max_speed
bronze_duration_mean,silver_avg_speed_imputed
bronze_ingestion_duration_sec,raw_ingestion_duration_sec
