from,to,p_a_to_b,a_causes_b,p_b_to_a,b_causes_a,min_p
bronze_survival_rate,bronze_duration_mean,0.29677727721295194,False,0.000342240143305715,False,0.000342240143305715
bronze_start_after_end_rows_lag1,bronze_survival_rate,0.6896247891842235,False,0.0027137185479483177,False,0.0027137185479483177
raw_avg_speed_std,silver_vehicle_info_join_miss_rate_lag1,0.0092882095321005,False,0.3553544731141376,False,0.0092882095321005
raw_avg_speed_std,bronze_survival_rate_lag1,0.7080633949471955,False,0.015593135878283546,False,0.015593135878283546
bronze_start_after_end_rows_lag1,silver_vehicle_info_join_miss_rate,0.05893638078510761,False,0.029741024804548682,False,0.029741024804548682
bronze_duration_mean,bronze_duration_std,0.11007815424508494,False,0.06859050959131932,False,0.06859050959131932
bronze_duration_mean_lag1,bronze_duration_std_lag1,0.13236164631199737,False,0.0758655512262857,False,0.0758655512262857
silver_vehicle_info_join_miss_rate_lag1,bronze_survival_rate_lag1,0.3135462712884386,False,0.17146032987335946,False,0.17146032987335946
bronze_duration_mean_lag1,bronze_survival_rate,0.9858878830557168,False,0.18762410643721872,False,0.18762410643721872
bronze_start_after_end_rows_lag1,raw_avg_speed_std,0.21223373479339877,False,0.5984710974769973,False,0.21223373479339877
